Saved path: music_store, gelateria, pharmacy, party_store, bakery, jewelry_store, toy_store, clothing_store, grocery_store, tech_shop, burger_joint, gym, pizzeria, craft_shop, florist : 34117
Saved path: music_store, pharmacy, party_store, salon, jewelry_store, hardware_store, gym, toy_store, noodle_house, tech_shop, clothing_store, bookstore, cafe, dentist, craft_shop : 39660
Saved path: craft_shop, bank, florist, pharmacy, salon, bike_shop, bakery, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe : 32612
Saved path: jewelry_store, hardware_store, toy_store, tech_shop, bookstore, cafe, dentist, craft_shop, bank, music_store, gelateria, pharmacy, bakery, pet_store, bike_shop : 48061
Saved path: florist, bank, pizzeria, gym, cafe, grocery_store, clothing_store, tech_shop, toy_store, barber_shop, jewelry_store, bakery, pet_store, bike_shop, gelateria : 45518
Saved path: toy_store, clothing_store, grocery_store, dentist, bookstore, florist, gelateria, party_store, salon, bike_shop, pet_store, jewelry_store, hardware_store, burger_joint, noodle_house : 48102
Saved path: barber_shop, jewelry_store, hardware_store, toy_store, burger_joint, cafe, dentist, pizzeria, bank, florist, gelateria, pharmacy, party_store, bike_shop, bakery : 38929
Saved path: burger_joint, bookstore, cafe, dentist, clothing_store, toy_store, barber_shop, jewelry_store, bakery, salon, party_store, gelateria, music_store, bank, gym : 41133
Saved path: toy_store, gym, pizzeria, craft_shop, music_store, gelateria, pharmacy, jewelry_store, bike_shop, bakery, burger_joint, cafe, grocery_store, clothing_store, tech_shop : 38099
Saved path: pharmacy, music_store, bank, craft_shop, dentist, cafe, bookstore, noodle_house, toy_store, gym, hardware_store, bike_shop, pet_store, bakery, barber_shop : 53150
Saved path: tech_shop, burger_joint, hardware_store, jewelry_store, bike_shop, party_store, pharmacy, music_store, florist, bookstore, cafe, dentist, clothing_store, toy_store, noodle_house : 41045
Saved path: clothing_store, toy_store, hardware_store, bakery, salon, pharmacy, florist, bank, craft_shop, pizzeria, bookstore, burger_joint, cafe, dentist, grocery_store : 32511
Saved path: pharmacy, music_store, florist, craft_shop, bookstore, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, pet_store, bike_shop, salon : 44436
Saved path: pet_store, bakery, salon, barber_shop, pharmacy, gelateria, music_store, pizzeria, craft_shop, dentist, burger_joint, noodle_house, toy_store, gym, hardware_store : 52321
Saved path: salon, party_store, gelateria, craft_shop, dentist, cafe, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery : 39413
Saved path: bank, florist, gelateria, barber_shop, bakery, salon, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, cafe, bookstore, craft_shop : 34313
Saved path: bookstore, cafe, dentist, grocery_store, tech_shop, noodle_house, toy_store, bakery, bike_shop, salon, pharmacy, party_store, hardware_store, gym, burger_joint : 36767
Saved path: dentist, craft_shop, bank, florist, gym, bakery, salon, jewelry_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, bookstore, cafe : 32869
Saved path: pizzeria, bookstore, grocery_store, clothing_store, noodle_house, toy_store, bakery, pet_store, bike_shop, salon, jewelry_store, party_store, pharmacy, gym, craft_shop : 43181
Saved path: toy_store, grocery_store, burger_joint, bookstore, pizzeria, craft_shop, bank, florist, music_store, pharmacy, party_store, salon, bakery, pet_store, gym : 42159
Saved path: noodle_house, toy_store, gym, hardware_store, salon, bike_shop, party_store, pharmacy, gelateria, music_store, craft_shop, pizzeria, cafe, clothing_store, tech_shop : 35874
Saved path: craft_shop, florist, gelateria, bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, cafe, hardware_store, gym : 46598
Saved path: toy_store, noodle_house, tech_shop, clothing_store, bookstore, pizzeria, craft_shop, gelateria, pharmacy, party_store, salon, bike_shop, jewelry_store, hardware_store, gym : 35799
Saved path: craft_shop, dentist, bookstore, tech_shop, grocery_store, clothing_store, toy_store, gym, pet_store, bike_shop, salon, jewelry_store, party_store, gelateria, music_store : 52179
Saved path: bakery, barber_shop, music_store, bank, craft_shop, dentist, grocery_store, bookstore, burger_joint, noodle_house, toy_store, hardware_store, salon, bike_shop, pet_store : 52893
Saved path: toy_store, noodle_house, tech_shop, grocery_store, dentist, burger_joint, gym, bank, florist, music_store, gelateria, party_store, bakery, jewelry_store, barber_shop : 39956
Saved path: tech_shop, noodle_house, toy_store, bakery, bike_shop, party_store, pharmacy, gelateria, bank, craft_shop, pizzeria, bookstore, cafe, grocery_store, clothing_store : 29765
Saved path: tech_shop, toy_store, barber_shop, jewelry_store, bakery, pet_store, salon, pharmacy, gelateria, bank, craft_shop, dentist, grocery_store, cafe, bookstore : 46513
Saved path: noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, pharmacy, music_store, florist, bank, burger_joint, cafe, grocery_store, clothing_store : 45357
Saved path: noodle_house, burger_joint, bookstore, pizzeria, gym, craft_shop, bank, florist, gelateria, bakery, salon, jewelry_store, barber_shop, toy_store, clothing_store : 35080
Saved path: toy_store, cafe, bookstore, pizzeria, craft_shop, bank, florist, music_store, gelateria, pharmacy, barber_shop, jewelry_store, bakery, pet_store, hardware_store : 44368
Saved path: party_store, florist, craft_shop, pizzeria, bookstore, cafe, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, pet_store, bakery, salon : 38569
Saved path: pharmacy, music_store, bank, craft_shop, bookstore, cafe, grocery_store, tech_shop, noodle_house, toy_store, gym, hardware_store, salon, bakery, barber_shop : 37666
Saved path: gelateria, pharmacy, bike_shop, pet_store, hardware_store, toy_store, clothing_store, grocery_store, dentist, cafe, bookstore, burger_joint, gym, florist, music_store : 50043
Saved path: jewelry_store, hardware_store, gym, toy_store, clothing_store, grocery_store, tech_shop, bookstore, craft_shop, music_store, pharmacy, party_store, bike_shop, pet_store, bakery : 46830
