Saved path: bakery, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, noodle_house, burger_joint, pizzeria, bank, gelateria, party_store, salon, bike_shop, pet_store : 43686
Saved path: party_store, pharmacy, gelateria, music_store, florist, bank, bookstore, cafe, noodle_house, toy_store, gym, hardware_store, pet_store, bakery, barber_shop : 46656
Saved path: toy_store, tech_shop, burger_joint, dentist, bookstore, pizzeria, florist, music_store, pharmacy, party_store, salon, bike_shop, pet_store, bakery, barber_shop : 49343
Saved path: music_store, craft_shop, bookstore, burger_joint, cafe, grocery_store, noodle_house, toy_store, barber_shop, jewelry_store, bakery, pet_store, bike_shop, salon, party_store : 45865
Saved path: dentist, burger_joint, bookstore, pizzeria, craft_shop, bank, gelateria, music_store, party_store, bike_shop, bakery, hardware_store, gym, toy_store, clothing_store : 41407
Saved path: gym, craft_shop, bank, florist, gelateria, pharmacy, party_store, bakery, pet_store, jewelry_store, barber_shop, toy_store, clothing_store, dentist, bookstore : 49123
Saved path: toy_store, noodle_house, burger_joint, bakery, pet_store, bike_shop, salon, party_store, pharmacy, florist, bank, pizzeria, bookstore, cafe, grocery_store : 38190
Saved path: bank, florist, gelateria, pet_store, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, cafe, dentist, craft_shop, gym : 48011
Saved path: jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, cafe, craft_shop, bank, florist, gelateria, pharmacy, bike_shop, pet_store, bakery : 42787
Saved path: pizzeria, craft_shop, pharmacy, party_store, bakery, pet_store, salon, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, burger_joint, cafe, bookstore : 39957
Saved path: pet_store, bakery, barber_shop, hardware_store, toy_store, clothing_store, tech_shop, burger_joint, cafe, craft_shop, florist, gelateria, pharmacy, party_store, salon : 44786
Saved path: bank, florist, gelateria, pharmacy, party_store, salon, bakery, pet_store, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, clothing_store, pizzeria : 43210
Saved path: clothing_store, grocery_store, cafe, craft_shop, florist, music_store, gelateria, pharmacy, party_store, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, noodle_house : 37840
Saved path: bookstore, dentist, bank, florist, music_store, gelateria, barber_shop, jewelry_store, bakery, pet_store, hardware_store, gym, toy_store, tech_shop, burger_joint : 52536
Saved path: pet_store, bakery, salon, party_store, gelateria, music_store, craft_shop, dentist, grocery_store, clothing_store, tech_shop, burger_joint, noodle_house, toy_store, barber_shop : 49051
Saved path: gym, craft_shop, florist, music_store, pharmacy, bakery, barber_shop, toy_store, noodle_house, clothing_store, dentist, cafe, bookstore, burger_joint, hardware_store : 42922
Saved path: pharmacy, music_store, florist, craft_shop, pizzeria, bookstore, burger_joint, noodle_house, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery : 42948
Saved path: grocery_store, cafe, bookstore, pizzeria, gym, bank, gelateria, party_store, salon, bakery, pet_store, barber_shop, toy_store, noodle_house, tech_shop : 44723
Saved path: pharmacy, music_store, bank, craft_shop, gym, noodle_house, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery : 46697
Saved path: music_store, pharmacy, party_store, salon, pet_store, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, cafe, dentist, craft_shop, pizzeria : 45405
Saved path: craft_shop, florist, music_store, pharmacy, party_store, jewelry_store, bike_shop, bakery, gym, toy_store, tech_shop, grocery_store, dentist, bookstore, pizzeria : 42031
Saved path: bike_shop, bakery, hardware_store, toy_store, clothing_store, tech_shop, noodle_house, burger_joint, bookstore, craft_shop, bank, florist, music_store, pharmacy, salon : 33026
Saved path: toy_store, clothing_store, grocery_store, dentist, cafe, bookstore, bank, pharmacy, salon, bakery, barber_shop, jewelry_store, hardware_store, burger_joint, noodle_house : 38189
