Saved path: gelateria, pet_store, dentist, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, bike_shop, pharmacy, music_store, bank : 65367
Saved path: gym, craft_shop, music_store, pharmacy, party_store, jewelry_store, bike_shop, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, cafe, bookstore : 50125
Saved path: bookstore, grocery_store, clothing_store, toy_store, salon, barber_shop, pharmacy, music_store, bank, gelateria, florist, pizzeria, gym, hardware_store, burger_joint : 57548
Saved path: jewelry_store, party_store, pharmacy, gelateria, bank, florist, pet_store, pizzeria, dentist, cafe, burger_joint, toy_store, clothing_store, noodle_house, barber_shop : 68671
Saved path: bakery, party_store, hardware_store, gym, florist, bank, pet_store, craft_shop, pizzeria, tech_shop, clothing_store, bookstore, burger_joint, toy_store, barber_shop : 67622
Saved path: bakery, pharmacy, bank, music_store, florist, pet_store, gym, burger_joint, cafe, dentist, noodle_house, salon, hardware_store, bike_shop, jewelry_store : 67827
Saved path: hardware_store, salon, toy_store, clothing_store, tech_shop, cafe, dentist, pizzeria, craft_shop, pet_store, gelateria, music_store, pharmacy, jewelry_store, gym : 61039
Saved path: gym, florist, gelateria, pet_store, craft_shop, pizzeria, dentist, burger_joint, grocery_store, clothing_store, noodle_house, salon, jewelry_store, party_store, bike_shop : 62041
Saved path: bank, gelateria, florist, gym, craft_shop, pizzeria, tech_shop, cafe, bookstore, clothing_store, salon, barber_shop, bike_shop, bakery, pharmacy : 59524
Saved path: clothing_store, noodle_house, toy_store, gym, hardware_store, party_store, bike_shop, bakery, bank, music_store, craft_shop, pizzeria, dentist, bookstore, burger_joint : 62381
Saved path: barber_shop, clothing_store, grocery_store, tech_shop, cafe, burger_joint, hardware_store, gym, craft_shop, florist, gelateria, pharmacy, bakery, bike_shop, jewelry_store : 50724
