Saved path: pharmacy, bakery, jewelry_store, bike_shop, hardware_store, gym, burger_joint, cafe, clothing_store, grocery_store, dentist, pet_store, florist, gelateria, bank : 61951
Saved path: noodle_house, hardware_store, party_store, jewelry_store, bike_shop, bakery, gym, florist, gelateria, bank, pet_store, pizzeria, dentist, cafe, bookstore : 68451
Saved path: pet_store, florist, pharmacy, bakery, bike_shop, party_store, jewelry_store, salon, toy_store, grocery_store, tech_shop, pizzeria, dentist, bookstore, gym : 62338
Saved path: pet_store, bank, pharmacy, bakery, party_store, bike_shop, barber_shop, hardware_store, burger_joint, bookstore, clothing_store, grocery_store, tech_shop, dentist, pizzeria : 67061
Saved path: clothing_store, grocery_store, tech_shop, burger_joint, bookstore, dentist, craft_shop, pet_store, music_store, bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store : 60945
Saved path: dentist, cafe, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, bakery, hardware_store, gym, bank, pet_store, craft_shop : 67916
Saved path: clothing_store, noodle_house, toy_store, barber_shop, bike_shop, party_store, hardware_store, gym, pet_store, bank, music_store, florist, bookstore, cafe, grocery_store : 62672
Saved path: bank, music_store, bike_shop, party_store, bakery, burger_joint, bookstore, cafe, dentist, tech_shop, grocery_store, clothing_store, toy_store, gym, florist : 58529
Saved path: gym, bookstore, cafe, dentist, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, bike_shop, gelateria, florist, craft_shop : 58950
Saved path: barber_shop, salon, noodle_house, toy_store, hardware_store, cafe, grocery_store, tech_shop, pizzeria, craft_shop, gelateria, music_store, pharmacy, party_store, jewelry_store : 60602
Saved path: dentist, pizzeria, pet_store, bank, gelateria, pharmacy, bakery, bike_shop, hardware_store, toy_store, clothing_store, grocery_store, tech_shop, bookstore, cafe : 54233
Saved path: hardware_store, party_store, jewelry_store, bike_shop, bakery, barber_shop, noodle_house, grocery_store, dentist, craft_shop, pet_store, gelateria, florist, bookstore, burger_joint : 61186
Saved path: hardware_store, gym, craft_shop, pet_store, bank, gelateria, florist, bookstore, tech_shop, grocery_store, clothing_store, salon, barber_shop, bakery, party_store : 61455
Saved path: cafe, bookstore, burger_joint, gym, pizzeria, craft_shop, music_store, bank, gelateria, bakery, party_store, jewelry_store, salon, toy_store, clothing_store : 67288
Saved path: music_store, pharmacy, bakery, party_store, bike_shop, barber_shop, salon, clothing_store, grocery_store, cafe, bookstore, hardware_store, gym, pet_store, bank : 60421
