Saved path: jewelry_store, hardware_store, burger_joint, bookstore, grocery_store, toy_store, gym, craft_shop, bank, florist, gelateria, party_store, bakery, pet_store, bike_shop : 45154
Saved path: tech_shop, noodle_house, toy_store, gym, craft_shop, florist, gelateria, party_store, bike_shop, bakery, hardware_store, burger_joint, bookstore, cafe, grocery_store : 33960
Saved path: cafe, bookstore, craft_shop, music_store, gelateria, pharmacy, party_store, pet_store, bakery, salon, jewelry_store, hardware_store, toy_store, tech_shop, grocery_store : 43345
Saved path: bookstore, cafe, grocery_store, dentist, florist, music_store, gelateria, pharmacy, jewelry_store, salon, bike_shop, gym, toy_store, noodle_house, burger_joint : 43121
Saved path: clothing_store, tech_shop, toy_store, gym, jewelry_store, bike_shop, bakery, party_store, gelateria, music_store, florist, pizzeria, bookstore, cafe, dentist : 42601
Saved path: grocery_store, clothing_store, toy_store, noodle_house, burger_joint, gym, bike_shop, jewelry_store, party_store, pharmacy, music_store, florist, bookstore, cafe, dentist : 42466
Saved path: dentist, grocery_store, clothing_store, tech_shop, toy_store, gym, hardware_store, pet_store, salon, party_store, music_store, craft_shop, pizzeria, bookstore, cafe : 48399
Saved path: pharmacy, party_store, pet_store, bakery, jewelry_store, hardware_store, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, dentist, pizzeria, florist, gelateria : 44984
Saved path: pet_store, bike_shop, pharmacy, gelateria, florist, pizzeria, dentist, cafe, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, barber_shop, bakery : 49533
Saved path: grocery_store, clothing_store, toy_store, barber_shop, bakery, salon, party_store, music_store, gelateria, bank, gym, hardware_store, burger_joint, cafe, dentist : 41247
Saved path: burger_joint, pet_store, bakery, salon, music_store, gelateria, bank, craft_shop, dentist, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, bookstore : 45767
Saved path: barber_shop, toy_store, noodle_house, tech_shop, grocery_store, dentist, burger_joint, gym, hardware_store, party_store, music_store, bakery, bike_shop, salon, jewelry_store : 44004
Saved path: bookstore, pizzeria, craft_shop, gelateria, party_store, bike_shop, pet_store, bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, cafe : 43851
Saved path: toy_store, burger_joint, bookstore, cafe, dentist, craft_shop, pizzeria, florist, gelateria, pharmacy, party_store, bakery, pet_store, jewelry_store, barber_shop : 45300
Saved path: dentist, craft_shop, florist, music_store, pharmacy, party_store, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, tech_shop, burger_joint : 42904
Saved path: hardware_store, jewelry_store, barber_shop, bakery, bike_shop, pharmacy, gelateria, music_store, florist, pizzeria, dentist, tech_shop, noodle_house, toy_store, gym : 44024
Saved path: cafe, pizzeria, craft_shop, gelateria, pharmacy, party_store, bakery, pet_store, bike_shop, hardware_store, gym, toy_store, tech_shop, clothing_store, grocery_store : 42347
Saved path: florist, bank, gym, burger_joint, cafe, dentist, clothing_store, toy_store, barber_shop, bakery, pet_store, salon, party_store, pharmacy, gelateria : 47753
Saved path: gym, hardware_store, pet_store, bakery, salon, jewelry_store, party_store, pharmacy, music_store, bookstore, cafe, dentist, clothing_store, noodle_house, toy_store : 50480
Saved path: gym, bakery, party_store, pharmacy, gelateria, florist, bank, pizzeria, bookstore, dentist, grocery_store, clothing_store, toy_store, tech_shop, burger_joint : 34617
Saved path: florist, music_store, gelateria, pharmacy, bike_shop, pet_store, bakery, hardware_store, gym, bookstore, clothing_store, grocery_store, dentist, craft_shop, bank : 48112
Saved path: burger_joint, hardware_store, salon, bike_shop, bakery, barber_shop, party_store, gelateria, craft_shop, dentist, cafe, grocery_store, clothing_store, toy_store, tech_shop : 40238
Saved path: barber_shop, jewelry_store, pet_store, bakery, salon, party_store, gelateria, music_store, bank, pizzeria, gym, cafe, tech_shop, clothing_store, toy_store : 46724
Saved path: pizzeria, bookstore, cafe, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, jewelry_store, bike_shop, party_store, gelateria, music_store, florist, craft_shop : 36425
