Saved path: hardware_store, gym, pizzeria, florist, bank, dentist, cafe, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, bakery, salon : 30514
Saved path: dentist, burger_joint, gym, pizzeria, craft_shop, bank, florist, music_store, party_store, bakery, jewelry_store, barber_shop, toy_store, tech_shop, clothing_store : 40846
Saved path: bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, bookstore, pizzeria, florist, craft_shop, dentist, cafe, burger_joint, hardware_store, bakery : 35598
Saved path: gelateria, florist, bank, pizzeria, bookstore, cafe, dentist, grocery_store, tech_shop, noodle_house, toy_store, hardware_store, pet_store, bakery, barber_shop : 48374
Saved path: pharmacy, party_store, salon, bike_shop, bakery, burger_joint, cafe, grocery_store, tech_shop, toy_store, gym, pizzeria, craft_shop, florist, music_store : 34218
Saved path: clothing_store, dentist, pizzeria, music_store, pharmacy, salon, bike_shop, pet_store, bakery, jewelry_store, hardware_store, gym, burger_joint, noodle_house, toy_store : 51265
Saved path: toy_store, tech_shop, burger_joint, hardware_store, jewelry_store, pet_store, bakery, pharmacy, gelateria, bank, pizzeria, bookstore, cafe, dentist, clothing_store : 46347
Saved path: dentist, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, bike_shop, salon, pharmacy, gelateria, florist, gym, pizzeria, bookstore : 42370
Saved path: salon, bike_shop, pet_store, bakery, barber_shop, toy_store, tech_shop, burger_joint, dentist, bookstore, pizzeria, bank, florist, gym, hardware_store : 46068
Saved path: burger_joint, pet_store, bike_shop, salon, jewelry_store, music_store, florist, craft_shop, pizzeria, bookstore, dentist, clothing_store, toy_store, noodle_house, tech_shop : 50068
Saved path: pet_store, bike_shop, jewelry_store, party_store, gelateria, pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, gym : 49894
Saved path: pet_store, bike_shop, salon, hardware_store, burger_joint, tech_shop, clothing_store, toy_store, gym, craft_shop, bank, florist, music_store, gelateria, bakery : 43418
Saved path: florist, music_store, gelateria, party_store, salon, bike_shop, bakery, toy_store, noodle_house, tech_shop, dentist, cafe, bookstore, pizzeria, bank : 36146
Saved path: pizzeria, florist, bank, craft_shop, gym, jewelry_store, salon, bike_shop, bakery, toy_store, tech_shop, clothing_store, grocery_store, dentist, bookstore : 35640
Saved path: noodle_house, toy_store, barber_shop, jewelry_store, pet_store, bakery, salon, party_store, hardware_store, craft_shop, bank, pizzeria, cafe, grocery_store, tech_shop : 41599
Saved path: dentist, craft_shop, bank, florist, gelateria, bakery, pet_store, salon, jewelry_store, gym, toy_store, clothing_store, tech_shop, burger_joint, cafe : 46844
Saved path: craft_shop, florist, music_store, pharmacy, party_store, salon, gym, toy_store, noodle_house, tech_shop, grocery_store, dentist, cafe, bookstore, pizzeria : 35989
Saved path: music_store, bank, gym, craft_shop, dentist, cafe, bookstore, burger_joint, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, pet_store, bakery : 50719
Saved path: gelateria, pharmacy, party_store, salon, bakery, pet_store, barber_shop, toy_store, clothing_store, grocery_store, dentist, craft_shop, pizzeria, florist, music_store : 46818
Saved path: gelateria, pharmacy, party_store, bakery, pet_store, bike_shop, salon, jewelry_store, hardware_store, toy_store, tech_shop, burger_joint, pizzeria, craft_shop, florist : 40736
Saved path: toy_store, cafe, bookstore, pizzeria, craft_shop, gelateria, pharmacy, party_store, salon, bike_shop, pet_store, bakery, barber_shop, hardware_store, gym : 46288
Saved path: gym, hardware_store, pet_store, bakery, salon, party_store, pharmacy, florist, bank, craft_shop, pizzeria, cafe, grocery_store, tech_shop, toy_store : 39830
Saved path: grocery_store, dentist, bookstore, burger_joint, gym, bank, gelateria, music_store, pharmacy, salon, bike_shop, bakery, barber_shop, toy_store, noodle_house : 44853
Saved path: bank, florist, pharmacy, party_store, bakery, jewelry_store, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, dentist, cafe, bookstore : 35028
Saved path: toy_store, grocery_store, cafe, dentist, pizzeria, music_store, pharmacy, party_store, salon, bike_shop, pet_store, bakery, hardware_store, burger_joint, tech_shop : 46593
