Saved path: pizzeria, craft_shop, gym, hardware_store, jewelry_store, bakery, pet_store, bike_shop, party_store, pharmacy, toy_store, tech_shop, grocery_store, cafe, bookstore : 43780
Saved path: tech_shop, noodle_house, toy_store, clothing_store, dentist, craft_shop, bank, music_store, pharmacy, pet_store, bakery, barber_shop, jewelry_store, hardware_store, burger_joint : 49152
Saved path: pharmacy, party_store, salon, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, clothing_store, cafe, pizzeria, craft_shop, music_store : 37932
Saved path: jewelry_store, bakery, bike_shop, salon, party_store, pharmacy, gelateria, florist, pizzeria, craft_shop, dentist, clothing_store, toy_store, tech_shop, burger_joint : 36762
Saved path: gym, bank, florist, music_store, gelateria, bakery, pet_store, bike_shop, salon, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, bookstore : 48447
Saved path: salon, jewelry_store, hardware_store, burger_joint, cafe, grocery_store, noodle_house, toy_store, gym, pizzeria, gelateria, music_store, pharmacy, bakery, pet_store : 46133
Saved path: music_store, gelateria, party_store, salon, bike_shop, bakery, barber_shop, toy_store, noodle_house, tech_shop, cafe, burger_joint, gym, pizzeria, florist : 37270
Saved path: salon, party_store, pharmacy, gelateria, bank, pizzeria, craft_shop, dentist, cafe, grocery_store, clothing_store, toy_store, gym, bakery, pet_store : 43272
Saved path: pet_store, bike_shop, salon, pharmacy, gelateria, music_store, gym, burger_joint, dentist, grocery_store, clothing_store, tech_shop, toy_store, barber_shop, bakery : 52814
Saved path: florist, music_store, pharmacy, party_store, salon, bike_shop, hardware_store, gym, toy_store, clothing_store, tech_shop, burger_joint, cafe, bookstore, craft_shop : 35631
Saved path: cafe, bookstore, pizzeria, florist, music_store, pharmacy, salon, bike_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house, tech_shop, dentist : 41615
Saved path: bank, florist, music_store, gelateria, pharmacy, bike_shop, bakery, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, dentist, bookstore, gym : 44697
Saved path: pizzeria, bookstore, cafe, dentist, grocery_store, toy_store, noodle_house, burger_joint, hardware_store, bakery, bike_shop, salon, music_store, bank, craft_shop : 38489
Saved path: pizzeria, bank, music_store, gelateria, pharmacy, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, bookstore : 35625
Saved path: bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, bookstore, dentist, craft_shop, pizzeria, florist, pharmacy, party_store, salon, pet_store : 47401
Saved path: music_store, pharmacy, party_store, pet_store, bakery, jewelry_store, barber_shop, toy_store, tech_shop, clothing_store, dentist, bookstore, pizzeria, craft_shop, florist : 48476
Saved path: gym, craft_shop, florist, music_store, gelateria, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, noodle_house, clothing_store, grocery_store, burger_joint, hardware_store : 39325
Saved path: bookstore, cafe, noodle_house, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, pharmacy, gelateria, bank, craft_shop, pizzeria : 41342
Saved path: salon, pharmacy, music_store, craft_shop, gym, bookstore, cafe, grocery_store, tech_shop, toy_store, barber_shop, jewelry_store, bakery, pet_store, bike_shop : 48037
