Saved path: bank, florist, music_store, pharmacy, party_store, bike_shop, bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, craft_shop : 38463
Saved path: jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, dentist, burger_joint, bookstore, bank, florist, gelateria, pharmacy, bike_shop, pet_store, bakery : 48119
Saved path: dentist, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bakery, salon, pharmacy, music_store, florist, bank, gym, craft_shop : 39159
Saved path: grocery_store, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, music_store, gelateria, gym, bookstore, dentist : 54365
Saved path: bookstore, burger_joint, noodle_house, toy_store, barber_shop, jewelry_store, bakery, pet_store, bike_shop, gelateria, music_store, florist, craft_shop, dentist, grocery_store : 51137
Saved path: pharmacy, gelateria, bank, pizzeria, bookstore, cafe, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, pet_store, bakery, party_store : 41375
Saved path: hardware_store, jewelry_store, barber_shop, pet_store, bakery, party_store, gelateria, music_store, florist, pizzeria, bookstore, burger_joint, cafe, grocery_store, toy_store : 45791
Saved path: cafe, grocery_store, clothing_store, dentist, craft_shop, florist, gelateria, pharmacy, salon, bakery, barber_shop, toy_store, noodle_house, burger_joint, bookstore : 37263
Saved path: bakery, pet_store, bike_shop, party_store, pharmacy, florist, bank, gym, bookstore, dentist, grocery_store, clothing_store, noodle_house, toy_store, barber_shop : 50645
Saved path: gelateria, music_store, florist, bank, craft_shop, bookstore, cafe, burger_joint, tech_shop, toy_store, gym, bike_shop, pet_store, bakery, party_store : 43085
Saved path: grocery_store, clothing_store, toy_store, burger_joint, hardware_store, pet_store, bakery, salon, party_store, pharmacy, florist, bank, pizzeria, craft_shop, dentist : 41635
Saved path: party_store, salon, bakery, jewelry_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, bookstore, pizzeria, craft_shop, bank, gelateria, music_store : 32304
Saved path: party_store, barber_shop, bakery, bike_shop, salon, hardware_store, gym, toy_store, noodle_house, tech_shop, clothing_store, bookstore, pizzeria, craft_shop, music_store : 40707
Saved path: bike_shop, salon, jewelry_store, pharmacy, music_store, florist, pizzeria, bookstore, cafe, dentist, grocery_store, tech_shop, toy_store, bakery, pet_store : 48137
Saved path: toy_store, noodle_house, tech_shop, burger_joint, hardware_store, salon, bakery, barber_shop, party_store, pharmacy, music_store, florist, bank, pizzeria, grocery_store : 35651
Saved path: party_store, gelateria, music_store, florist, pizzeria, craft_shop, dentist, cafe, bookstore, tech_shop, toy_store, hardware_store, pet_store, bakery, salon : 44837
Saved path: cafe, bookstore, burger_joint, tech_shop, noodle_house, toy_store, gym, hardware_store, pet_store, bakery, music_store, bank, pizzeria, craft_shop, dentist : 47153
Saved path: party_store, salon, bakery, gym, toy_store, clothing_store, tech_shop, noodle_house, burger_joint, bookstore, cafe, dentist, craft_shop, florist, gelateria : 35510
Saved path: florist, craft_shop, dentist, cafe, grocery_store, toy_store, noodle_house, burger_joint, hardware_store, jewelry_store, pet_store, bakery, party_store, pharmacy, gelateria : 44443
Saved path: gym, pizzeria, bank, music_store, party_store, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, burger_joint, hardware_store : 39583
Saved path: bank, florist, music_store, gelateria, pharmacy, party_store, bakery, pet_store, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, cafe, pizzeria : 42095
Saved path: grocery_store, toy_store, noodle_house, burger_joint, gym, hardware_store, barber_shop, bakery, bike_shop, party_store, gelateria, music_store, florist, pizzeria, dentist : 45721
Saved path: barber_shop, bakery, salon, party_store, pharmacy, music_store, pizzeria, bookstore, cafe, grocery_store, clothing_store, noodle_house, toy_store, gym, hardware_store : 37160
Saved path: bank, dentist, cafe, burger_joint, tech_shop, noodle_house, toy_store, gym, bike_shop, pet_store, bakery, jewelry_store, pharmacy, music_store, gelateria : 49311
