Saved path: hardware_store, jewelry_store, bakery, salon, pharmacy, gelateria, music_store, florist, bank, pizzeria, bookstore, burger_joint, clothing_store, toy_store, gym : 35006
Saved path: craft_shop, florist, gelateria, pharmacy, salon, bike_shop, pet_store, jewelry_store, hardware_store, gym, toy_store, clothing_store, grocery_store, cafe, pizzeria : 44074
Saved path: hardware_store, toy_store, clothing_store, tech_shop, burger_joint, bookstore, pizzeria, craft_shop, bank, florist, music_store, gelateria, pharmacy, bakery, pet_store : 40469
Saved path: gym, hardware_store, barber_shop, bakery, bike_shop, salon, party_store, gelateria, florist, bank, pizzeria, craft_shop, dentist, cafe, toy_store : 41180
Saved path: barber_shop, jewelry_store, salon, bakery, pharmacy, gelateria, music_store, florist, craft_shop, gym, bookstore, cafe, clothing_store, noodle_house, toy_store : 36880
Saved path: clothing_store, grocery_store, cafe, bookstore, craft_shop, bank, gelateria, bakery, bike_shop, salon, jewelry_store, barber_shop, hardware_store, gym, toy_store : 37776
Saved path: clothing_store, dentist, bookstore, pizzeria, florist, music_store, pharmacy, party_store, jewelry_store, salon, pet_store, burger_joint, tech_shop, noodle_house, toy_store : 48126
Saved path: bank, music_store, party_store, bike_shop, bakery, barber_shop, toy_store, clothing_store, dentist, bookstore, burger_joint, hardware_store, gym, pizzeria, craft_shop : 46334
Saved path: gelateria, pharmacy, party_store, salon, bakery, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, bookstore, pizzeria, craft_shop, music_store : 35103
Saved path: bank, craft_shop, dentist, grocery_store, cafe, bookstore, burger_joint, noodle_house, toy_store, hardware_store, bakery, pet_store, bike_shop, music_store, florist : 47137
Saved path: bookstore, pizzeria, florist, pharmacy, bakery, pet_store, barber_shop, jewelry_store, hardware_store, toy_store, clothing_store, grocery_store, dentist, cafe, burger_joint : 47949
Saved path: jewelry_store, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, cafe, dentist, pizzeria, gelateria, music_store, party_store, bike_shop, pet_store : 50305
Saved path: bank, florist, gelateria, pet_store, bakery, salon, hardware_store, gym, burger_joint, tech_shop, toy_store, grocery_store, dentist, bookstore, pizzeria : 46763
Saved path: cafe, clothing_store, noodle_house, toy_store, bakery, pet_store, bike_shop, salon, party_store, gelateria, music_store, florist, bank, pizzeria, dentist : 45571
Saved path: gym, hardware_store, salon, bakery, pet_store, barber_shop, gelateria, florist, dentist, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store : 50181
Saved path: toy_store, hardware_store, jewelry_store, barber_shop, bakery, party_store, music_store, florist, pizzeria, craft_shop, dentist, cafe, bookstore, burger_joint, noodle_house : 39132
Saved path: pharmacy, gelateria, music_store, craft_shop, dentist, cafe, tech_shop, noodle_house, toy_store, hardware_store, salon, bike_shop, pet_store, bakery, party_store : 44004
Saved path: salon, party_store, pharmacy, music_store, florist, bank, bookstore, dentist, grocery_store, tech_shop, toy_store, hardware_store, bakery, pet_store, bike_shop : 46229
Saved path: barber_shop, jewelry_store, gelateria, music_store, florist, bank, dentist, cafe, bookstore, noodle_house, toy_store, gym, hardware_store, pet_store, bakery : 51978
Saved path: jewelry_store, salon, bakery, party_store, pharmacy, gelateria, music_store, bookstore, cafe, dentist, grocery_store, clothing_store, toy_store, gym, hardware_store : 39561
Saved path: burger_joint, tech_shop, toy_store, clothing_store, dentist, cafe, bookstore, pizzeria, music_store, pharmacy, party_store, bakery, barber_shop, hardware_store, gym : 43109
Saved path: dentist, cafe, bookstore, pizzeria, craft_shop, gym, gelateria, pharmacy, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, clothing_store : 42063
Saved path: barber_shop, bakery, bike_shop, salon, pharmacy, music_store, florist, bank, dentist, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, jewelry_store : 41404
