Saved path: gym, craft_shop, dentist, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, salon, party_store, gelateria, music_store, florist : 40236
Saved path: tech_shop, cafe, dentist, craft_shop, pizzeria, bank, music_store, salon, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store : 43068
Saved path: dentist, grocery_store, clothing_store, tech_shop, toy_store, barber_shop, pet_store, bakery, salon, pharmacy, bank, craft_shop, pizzeria, bookstore, cafe : 46364
Saved path: salon, pet_store, bakery, barber_shop, party_store, gelateria, music_store, craft_shop, dentist, cafe, bookstore, burger_joint, noodle_house, toy_store, hardware_store : 50262
Saved path: pizzeria, bank, gelateria, pharmacy, party_store, bakery, salon, jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, cafe, burger_joint, gym : 33215
Saved path: florist, bank, bookstore, cafe, tech_shop, toy_store, hardware_store, bakery, pet_store, bike_shop, salon, party_store, pharmacy, gelateria, music_store : 39982
Saved path: gym, hardware_store, pet_store, bakery, party_store, gelateria, bank, craft_shop, dentist, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, bookstore : 45921
Saved path: jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, dentist, craft_shop, bank, florist, bookstore, burger_joint, hardware_store, party_store, pet_store, bakery : 48085
Saved path: clothing_store, grocery_store, dentist, bookstore, pizzeria, craft_shop, bank, music_store, pharmacy, salon, bakery, jewelry_store, gym, toy_store, tech_shop : 39542
Saved path: barber_shop, gelateria, pizzeria, craft_shop, dentist, cafe, grocery_store, clothing_store, toy_store, burger_joint, hardware_store, salon, bike_shop, pet_store, bakery : 50088
Saved path: bank, florist, music_store, gelateria, party_store, bakery, pet_store, bike_shop, hardware_store, burger_joint, toy_store, grocery_store, cafe, dentist, pizzeria : 46975
Saved path: pet_store, bike_shop, salon, jewelry_store, toy_store, clothing_store, grocery_store, tech_shop, burger_joint, gym, pizzeria, craft_shop, music_store, gelateria, bakery : 46807
Saved path: jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, cafe, hardware_store, gym, craft_shop, music_store, pharmacy, bakery, pet_store, bike_shop : 48488
Saved path: clothing_store, cafe, bookstore, craft_shop, bank, florist, music_store, pharmacy, party_store, salon, bakery, pet_store, hardware_store, toy_store, noodle_house : 40083
Saved path: barber_shop, toy_store, clothing_store, grocery_store, tech_shop, noodle_house, gym, pizzeria, bank, music_store, gelateria, pharmacy, salon, bakery, pet_store : 46430
Saved path: bike_shop, bakery, party_store, gelateria, florist, bank, dentist, grocery_store, toy_store, noodle_house, tech_shop, bookstore, burger_joint, gym, hardware_store : 38702
Saved path: noodle_house, toy_store, hardware_store, bakery, pet_store, bike_shop, gelateria, music_store, florist, bank, pizzeria, craft_shop, dentist, bookstore, tech_shop : 46432
Saved path: barber_shop, jewelry_store, hardware_store, gym, toy_store, tech_shop, cafe, dentist, bank, gelateria, party_store, salon, bike_shop, pet_store, bakery : 49552
Saved path: pharmacy, music_store, florist, bank, craft_shop, dentist, grocery_store, toy_store, gym, hardware_store, jewelry_store, salon, bike_shop, pet_store, bakery : 48677
Saved path: gym, toy_store, noodle_house, tech_shop, bookstore, pizzeria, craft_shop, florist, music_store, gelateria, pharmacy, jewelry_store, salon, bike_shop, pet_store : 44613
Saved path: hardware_store, barber_shop, pet_store, bakery, salon, party_store, pharmacy, gelateria, music_store, florist, craft_shop, pizzeria, tech_shop, noodle_house, toy_store : 44432
Saved path: bakery, pet_store, toy_store, tech_shop, grocery_store, dentist, cafe, bookstore, bank, florist, gelateria, pharmacy, party_store, jewelry_store, salon : 44858
Saved path: burger_joint, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, salon, bakery, gelateria, music_store, florist, bank, pizzeria, bookstore : 33509
Saved path: pet_store, bike_shop, salon, hardware_store, toy_store, noodle_house, grocery_store, cafe, burger_joint, gym, pizzeria, florist, pharmacy, party_store, bakery : 41371
Saved path: gelateria, music_store, florist, bank, pizzeria, bookstore, dentist, burger_joint, toy_store, gym, hardware_store, bike_shop, pet_store, bakery, party_store : 49117
Saved path: hardware_store, bike_shop, bakery, gelateria, music_store, florist, bank, pizzeria, dentist, cafe, grocery_store, clothing_store, toy_store, tech_shop, burger_joint : 38048
Saved path: tech_shop, cafe, bookstore, pizzeria, gelateria, pharmacy, bike_shop, pet_store, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, clothing_store : 47503
Saved path: grocery_store, clothing_store, toy_store, pet_store, bike_shop, jewelry_store, party_store, pharmacy, gelateria, music_store, craft_shop, gym, burger_joint, noodle_house, tech_shop : 46571
Saved path: gym, bookstore, cafe, dentist, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, bank, craft_shop : 41898
Saved path: pizzeria, florist, gelateria, pharmacy, party_store, bike_shop, salon, jewelry_store, toy_store, clothing_store, tech_shop, burger_joint, cafe, dentist, craft_shop : 37204
Saved path: burger_joint, noodle_house, toy_store, barber_shop, jewelry_store, bakery, salon, party_store, pharmacy, music_store, florist, pizzeria, bookstore, cafe, dentist : 37016
Saved path: grocery_store, clothing_store, noodle_house, toy_store, hardware_store, jewelry_store, salon, bakery, party_store, gelateria, florist, bank, craft_shop, dentist, bookstore : 35625
Saved path: toy_store, noodle_house, clothing_store, grocery_store, dentist, gym, bank, music_store, gelateria, pharmacy, pet_store, bakery, salon, jewelry_store, barber_shop : 50680
Saved path: hardware_store, burger_joint, tech_shop, toy_store, grocery_store, dentist, pizzeria, music_store, party_store, salon, bike_shop, pet_store, bakery, barber_shop, jewelry_store : 51796
Saved path: burger_joint, grocery_store, tech_shop, noodle_house, toy_store, gym, craft_shop, bank, florist, music_store, pharmacy, salon, bike_shop, bakery, jewelry_store : 36254
Saved path: pet_store, bike_shop, salon, jewelry_store, gym, toy_store, clothing_store, grocery_store, cafe, burger_joint, bookstore, pizzeria, gelateria, music_store, bakery : 46506
Saved path: craft_shop, gym, pizzeria, music_store, party_store, salon, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, bookstore, cafe, dentist : 40647
Saved path: hardware_store, barber_shop, bakery, bike_shop, party_store, gelateria, music_store, craft_shop, dentist, cafe, bookstore, tech_shop, noodle_house, toy_store, gym : 44604
Saved path: salon, bike_shop, bakery, barber_shop, toy_store, tech_shop, grocery_store, cafe, dentist, craft_shop, pizzeria, gym, music_store, gelateria, pharmacy : 43999
Saved path: cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, bakery, pet_store, bike_shop, salon, music_store, florist, pizzeria : 43884
Saved path: pizzeria, craft_shop, dentist, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, salon, bakery, party_store, florist : 36030
Saved path: grocery_store, toy_store, gym, jewelry_store, bakery, pet_store, salon, party_store, music_store, florist, craft_shop, pizzeria, bookstore, cafe, dentist : 49280
Saved path: pet_store, bakery, salon, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, burger_joint, pizzeria, craft_shop, bank, music_store, gelateria, pharmacy : 42683
Saved path: gelateria, music_store, florist, bank, craft_shop, dentist, cafe, bookstore, burger_joint, clothing_store, barber_shop, bakery, bike_shop, party_store, pharmacy : 41028
