Saved path: florist, gelateria, music_store, pharmacy, bakery, bike_shop, barber_shop, salon, toy_store, grocery_store, tech_shop, pizzeria, craft_shop, gym, pet_store : 54072
Saved path: pet_store, gelateria, music_store, pharmacy, party_store, bike_shop, barber_shop, toy_store, gym, hardware_store, burger_joint, bookstore, cafe, dentist, craft_shop : 58877
Saved path: hardware_store, burger_joint, bookstore, cafe, dentist, pizzeria, tech_shop, noodle_house, barber_shop, bakery, party_store, bike_shop, music_store, pet_store, gym : 62285
Saved path: toy_store, salon, barber_shop, bike_shop, jewelry_store, hardware_store, gym, florist, gelateria, craft_shop, pizzeria, tech_shop, cafe, bookstore, clothing_store : 61280
Saved path: burger_joint, bookstore, dentist, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, jewelry_store, party_store, pharmacy, music_store, gelateria, gym : 55321
Saved path: pet_store, gelateria, bank, music_store, bike_shop, jewelry_store, party_store, bakery, barber_shop, salon, toy_store, clothing_store, tech_shop, burger_joint, bookstore : 65013
Saved path: pharmacy, party_store, bike_shop, barber_shop, salon, hardware_store, bookstore, cafe, clothing_store, grocery_store, dentist, florist, gelateria, bank, music_store : 63337
Saved path: jewelry_store, party_store, bakery, barber_shop, bank, craft_shop, pizzeria, dentist, bookstore, cafe, tech_shop, grocery_store, noodle_house, toy_store, hardware_store : 70041
Saved path: burger_joint, cafe, tech_shop, grocery_store, noodle_house, salon, toy_store, hardware_store, jewelry_store, party_store, pharmacy, bank, music_store, craft_shop, bookstore : 61028
Saved path: toy_store, bakery, bike_shop, party_store, pharmacy, gelateria, bank, pet_store, gym, burger_joint, cafe, tech_shop, grocery_store, noodle_house, salon : 58309
Saved path: jewelry_store, party_store, bakery, pharmacy, music_store, bank, florist, pet_store, craft_shop, pizzeria, dentist, grocery_store, noodle_house, bookstore, hardware_store : 64942
Saved path: clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, bank, gelateria, pharmacy, bakery, party_store, jewelry_store, barber_shop, burger_joint, bookstore : 65864
Saved path: bakery, pharmacy, bank, music_store, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, cafe, burger_joint, toy_store, barber_shop, bike_shop, party_store : 61264
Saved path: gelateria, pharmacy, bakery, jewelry_store, bike_shop, hardware_store, gym, burger_joint, tech_shop, dentist, pizzeria, craft_shop, florist, music_store, bank : 60038
Saved path: cafe, tech_shop, dentist, pizzeria, craft_shop, florist, gelateria, bank, bakery, party_store, jewelry_store, hardware_store, salon, toy_store, burger_joint : 64233
Saved path: cafe, tech_shop, pizzeria, pet_store, gelateria, music_store, gym, hardware_store, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, grocery_store : 65352
Saved path: pizzeria, craft_shop, pet_store, bank, music_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, grocery_store, cafe, tech_shop : 66914
Saved path: party_store, bike_shop, gelateria, bank, music_store, florist, pet_store, pizzeria, tech_shop, grocery_store, clothing_store, toy_store, hardware_store, salon, barber_shop : 67663
Saved path: craft_shop, gym, burger_joint, bookstore, clothing_store, toy_store, salon, barber_shop, bike_shop, party_store, jewelry_store, music_store, bank, gelateria, pet_store : 65670
Saved path: burger_joint, bookstore, dentist, tech_shop, grocery_store, toy_store, barber_shop, jewelry_store, bakery, pharmacy, gelateria, bank, music_store, craft_shop, gym : 65219
Saved path: tech_shop, clothing_store, noodle_house, cafe, bookstore, bike_shop, jewelry_store, party_store, bakery, bank, music_store, florist, pet_store, craft_shop, pizzeria : 65462
Saved path: burger_joint, cafe, tech_shop, dentist, pizzeria, craft_shop, florist, bank, bakery, party_store, bike_shop, barber_shop, noodle_house, toy_store, hardware_store : 65442
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, cafe, burger_joint, craft_shop, florist, bank, bakery, bike_shop, party_store, hardware_store, toy_store, salon : 58093
Saved path: noodle_house, tech_shop, pizzeria, dentist, bookstore, burger_joint, hardware_store, gym, bank, gelateria, bakery, party_store, jewelry_store, barber_shop, salon : 70755
Saved path: barber_shop, salon, toy_store, clothing_store, grocery_store, bookstore, cafe, pizzeria, pet_store, florist, gelateria, pharmacy, bakery, party_store, jewelry_store : 58959
