Saved path: gelateria, pharmacy, party_store, salon, bike_shop, pet_store, bakery, barber_shop, toy_store, tech_shop, grocery_store, bookstore, craft_shop, florist, music_store : 45226
Saved path: pet_store, bike_shop, pharmacy, gelateria, party_store, hardware_store, gym, burger_joint, bookstore, dentist, grocery_store, toy_store, barber_shop, jewelry_store, bakery : 52058
Saved path: bakery, barber_shop, party_store, gelateria, bank, pizzeria, bookstore, cafe, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, salon, bike_shop : 35491
Saved path: toy_store, noodle_house, burger_joint, bakery, bike_shop, party_store, pharmacy, florist, bank, craft_shop, dentist, cafe, bookstore, grocery_store, clothing_store : 34886
Saved path: tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, salon, pet_store, bakery, gelateria, florist, bank, pizzeria, craft_shop, dentist, clothing_store : 44913
Saved path: gym, craft_shop, music_store, party_store, salon, bike_shop, pet_store, bakery, jewelry_store, barber_shop, toy_store, clothing_store, cafe, burger_joint, hardware_store : 47649
Saved path: salon, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, gym, pizzeria, florist, gelateria, pharmacy, party_store : 32288
Saved path: grocery_store, tech_shop, noodle_house, toy_store, bakery, bike_shop, salon, party_store, pharmacy, gelateria, music_store, pizzeria, bookstore, cafe, dentist : 37039
Saved path: barber_shop, bakery, salon, party_store, gelateria, florist, bank, pizzeria, bookstore, dentist, clothing_store, tech_shop, noodle_house, toy_store, hardware_store : 38511
Saved path: clothing_store, toy_store, gym, hardware_store, jewelry_store, bakery, bike_shop, salon, pharmacy, florist, bank, craft_shop, dentist, bookstore, tech_shop : 39773
Saved path: jewelry_store, bakery, party_store, pharmacy, gelateria, music_store, florist, bank, craft_shop, pizzeria, gym, tech_shop, noodle_house, toy_store, hardware_store : 32382
Saved path: craft_shop, dentist, grocery_store, cafe, bookstore, tech_shop, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, pharmacy, florist : 42998
Saved path: cafe, bookstore, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, barber_shop, bakery, party_store, pharmacy, gelateria, florist, craft_shop, dentist : 38093
Saved path: party_store, pharmacy, music_store, bank, craft_shop, dentist, clothing_store, toy_store, noodle_house, tech_shop, bookstore, burger_joint, pet_store, bakery, salon : 45014
Saved path: barber_shop, bakery, bike_shop, party_store, pharmacy, music_store, florist, gym, hardware_store, burger_joint, cafe, dentist, clothing_store, tech_shop, toy_store : 44380
Saved path: gym, toy_store, noodle_house, cafe, dentist, craft_shop, pizzeria, bank, gelateria, music_store, salon, bike_shop, pet_store, bakery, hardware_store : 47567
Saved path: salon, bakery, jewelry_store, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, dentist, cafe, bookstore, burger_joint, gym, pizzeria, music_store : 42330
Saved path: barber_shop, bakery, bike_shop, music_store, florist, bank, pizzeria, craft_shop, dentist, grocery_store, toy_store, tech_shop, burger_joint, gym, hardware_store : 45137
Saved path: grocery_store, cafe, bookstore, craft_shop, florist, gelateria, pharmacy, salon, bakery, barber_shop, hardware_store, gym, toy_store, noodle_house, tech_shop : 35776
Saved path: music_store, pharmacy, party_store, salon, bakery, barber_shop, jewelry_store, hardware_store, toy_store, tech_shop, grocery_store, bookstore, craft_shop, bank, florist : 34824
Saved path: gelateria, party_store, salon, bakery, jewelry_store, hardware_store, gym, toy_store, grocery_store, cafe, burger_joint, bookstore, pizzeria, craft_shop, florist : 33104
Saved path: hardware_store, jewelry_store, barber_shop, pet_store, bakery, salon, music_store, gelateria, pizzeria, bookstore, burger_joint, tech_shop, noodle_house, toy_store, gym : 47277
Saved path: toy_store, burger_joint, bookstore, cafe, grocery_store, dentist, craft_shop, music_store, pharmacy, party_store, pet_store, bakery, salon, jewelry_store, hardware_store : 48300
Saved path: burger_joint, noodle_house, toy_store, grocery_store, dentist, craft_shop, pizzeria, bank, florist, music_store, pharmacy, party_store, salon, bakery, hardware_store : 33714
