Saved path: pet_store, bike_shop, salon, hardware_store, toy_store, clothing_store, grocery_store, cafe, dentist, florist, music_store, gelateria, pharmacy, barber_shop, bakery : 50346
Saved path: bakery, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, cafe, dentist, pizzeria, bank, florist, gelateria, salon, bike_shop, pet_store : 43857
Saved path: jewelry_store, bakery, party_store, pharmacy, music_store, gelateria, bookstore, cafe, dentist, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, gym : 40217
Saved path: pet_store, bike_shop, music_store, pharmacy, hardware_store, gym, burger_joint, cafe, grocery_store, clothing_store, tech_shop, toy_store, barber_shop, jewelry_store, bakery : 47916
Saved path: burger_joint, cafe, grocery_store, toy_store, gym, hardware_store, pet_store, bakery, jewelry_store, party_store, gelateria, florist, craft_shop, pizzeria, bookstore : 43339
Saved path: toy_store, burger_joint, gym, bakery, pet_store, bike_shop, salon, party_store, pharmacy, gelateria, music_store, pizzeria, craft_shop, dentist, grocery_store : 48214
Saved path: noodle_house, toy_store, gym, hardware_store, pet_store, bakery, salon, jewelry_store, barber_shop, pharmacy, bank, dentist, cafe, bookstore, tech_shop : 49113
Saved path: craft_shop, bank, florist, music_store, gelateria, party_store, bike_shop, pet_store, bakery, barber_shop, toy_store, clothing_store, grocery_store, cafe, bookstore : 44570
Saved path: clothing_store, toy_store, hardware_store, salon, bakery, pet_store, barber_shop, pharmacy, music_store, florist, bank, craft_shop, dentist, bookstore, tech_shop : 50687
Saved path: pharmacy, music_store, florist, craft_shop, pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store, noodle_house, toy_store, jewelry_store, bike_shop, bakery : 39640
Saved path: clothing_store, grocery_store, cafe, bookstore, burger_joint, gym, craft_shop, bank, music_store, party_store, bakery, bike_shop, jewelry_store, barber_shop, toy_store : 38238
Saved path: jewelry_store, bakery, bike_shop, pharmacy, gelateria, craft_shop, pizzeria, gym, hardware_store, burger_joint, bookstore, grocery_store, clothing_store, toy_store, barber_shop : 38890
Saved path: noodle_house, toy_store, gym, hardware_store, salon, bike_shop, bakery, barber_shop, music_store, florist, craft_shop, dentist, cafe, grocery_store, clothing_store : 43837
Saved path: florist, music_store, pharmacy, party_store, pet_store, gym, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, cafe, dentist, craft_shop, pizzeria : 46664
Saved path: bookstore, pizzeria, music_store, barber_shop, pet_store, bakery, salon, hardware_store, gym, burger_joint, tech_shop, toy_store, clothing_store, dentist, cafe : 54408
Saved path: gelateria, party_store, salon, bike_shop, bakery, hardware_store, gym, toy_store, noodle_house, tech_shop, burger_joint, bookstore, dentist, craft_shop, bank : 36965
Saved path: bank, music_store, gelateria, pharmacy, party_store, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house, grocery_store, dentist : 43994
Saved path: toy_store, clothing_store, dentist, cafe, burger_joint, hardware_store, gym, pizzeria, craft_shop, florist, gelateria, pharmacy, party_store, bakery, barber_shop : 39547
Saved path: dentist, grocery_store, toy_store, noodle_house, burger_joint, gym, hardware_store, bakery, bike_shop, salon, party_store, pharmacy, gelateria, florist, craft_shop : 36398
Saved path: burger_joint, noodle_house, toy_store, clothing_store, grocery_store, bookstore, craft_shop, bank, florist, music_store, party_store, jewelry_store, salon, bakery, pet_store : 42751
Saved path: jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, burger_joint, bookstore, pizzeria, music_store, pharmacy, bakery, pet_store : 49315
Saved path: bookstore, dentist, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, hardware_store, pet_store, bike_shop, jewelry_store, party_store, pharmacy, gelateria, florist : 47669
Saved path: bakery, party_store, pharmacy, music_store, gelateria, bank, craft_shop, pizzeria, bookstore, burger_joint, tech_shop, clothing_store, toy_store, gym, pet_store : 42262
