Saved path: dentist, craft_shop, bank, florist, gelateria, jewelry_store, bike_shop, bakery, gym, bookstore, tech_shop, noodle_house, toy_store, clothing_store, grocery_store : 40456
Saved path: bakery, jewelry_store, hardware_store, toy_store, noodle_house, burger_joint, cafe, dentist, pizzeria, bank, florist, music_store, gelateria, pharmacy, party_store : 35381
Saved path: barber_shop, jewelry_store, bakery, bike_shop, salon, pharmacy, gelateria, florist, pizzeria, gym, hardware_store, noodle_house, tech_shop, clothing_store, toy_store : 36941
Saved path: florist, craft_shop, pizzeria, bookstore, dentist, clothing_store, noodle_house, toy_store, hardware_store, jewelry_store, bakery, pet_store, bike_shop, party_store, gelateria : 47896
Saved path: florist, craft_shop, pizzeria, bookstore, dentist, grocery_store, toy_store, noodle_house, burger_joint, hardware_store, jewelry_store, bike_shop, bakery, party_store, pharmacy : 38602
Saved path: music_store, florist, bank, gym, pizzeria, dentist, cafe, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, pet_store, bakery, salon : 51355
Saved path: gelateria, pharmacy, party_store, bakery, pet_store, bike_shop, salon, jewelry_store, toy_store, tech_shop, burger_joint, bookstore, cafe, dentist, music_store : 47974
Saved path: bakery, pet_store, bike_shop, party_store, gelateria, music_store, florist, bank, gym, dentist, cafe, grocery_store, tech_shop, toy_store, barber_shop : 52374
Saved path: gelateria, music_store, pharmacy, party_store, pet_store, bakery, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, bookstore, pizzeria, craft_shop, bank : 40217
Saved path: bike_shop, salon, pharmacy, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, cafe, dentist, craft_shop, gym, hardware_store, pet_store : 45668
Saved path: gym, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, cafe, dentist, pizzeria, florist, music_store, gelateria, pharmacy, pet_store, hardware_store : 48263
Saved path: craft_shop, gym, bookstore, cafe, dentist, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, music_store, bank : 53794
Saved path: dentist, craft_shop, pizzeria, bank, florist, music_store, pharmacy, pet_store, bakery, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, burger_joint : 45767
Saved path: dentist, craft_shop, florist, gym, bakery, bike_shop, jewelry_store, hardware_store, burger_joint, bookstore, tech_shop, toy_store, clothing_store, grocery_store, cafe : 36936
Saved path: salon, pharmacy, music_store, florist, bank, bookstore, dentist, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, hardware_store, pet_store, bakery : 45410
Saved path: pizzeria, bank, florist, music_store, pharmacy, party_store, salon, bike_shop, bakery, barber_shop, hardware_store, toy_store, noodle_house, tech_shop, burger_joint : 35978
Saved path: pharmacy, gelateria, craft_shop, pizzeria, gym, hardware_store, burger_joint, noodle_house, tech_shop, clothing_store, toy_store, barber_shop, bakery, pet_store, salon : 45860
Saved path: toy_store, noodle_house, burger_joint, cafe, dentist, pizzeria, bank, florist, gelateria, pharmacy, party_store, bakery, bike_shop, jewelry_store, hardware_store : 36131
Saved path: florist, bank, gym, pizzeria, craft_shop, dentist, cafe, grocery_store, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, music_store : 51886
Saved path: florist, music_store, pharmacy, bakery, jewelry_store, hardware_store, gym, toy_store, tech_shop, burger_joint, bookstore, cafe, dentist, craft_shop, bank : 38015
Saved path: pizzeria, dentist, clothing_store, tech_shop, noodle_house, toy_store, gym, pet_store, bakery, salon, pharmacy, gelateria, music_store, florist, bank : 46591
Saved path: salon, bakery, jewelry_store, hardware_store, gym, burger_joint, bookstore, tech_shop, toy_store, grocery_store, dentist, craft_shop, bank, gelateria, pharmacy : 38395
Saved path: pet_store, bakery, salon, party_store, gelateria, florist, pizzeria, craft_shop, dentist, cafe, clothing_store, toy_store, noodle_house, burger_joint, hardware_store : 43143
Saved path: party_store, pharmacy, gelateria, music_store, bookstore, burger_joint, cafe, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, pet_store, bakery, salon : 44721
Saved path: craft_shop, bank, gelateria, pharmacy, party_store, salon, bakery, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, cafe, bookstore, gym : 34238
Saved path: pet_store, bike_shop, salon, party_store, pharmacy, music_store, craft_shop, pizzeria, bookstore, burger_joint, tech_shop, noodle_house, toy_store, barber_shop, bakery : 43320
Saved path: bakery, salon, pharmacy, gelateria, florist, craft_shop, pizzeria, bookstore, cafe, grocery_store, noodle_house, toy_store, gym, hardware_store, pet_store : 40787
Saved path: noodle_house, toy_store, barber_shop, bakery, bike_shop, party_store, pharmacy, gelateria, pizzeria, bookstore, burger_joint, cafe, grocery_store, clothing_store, tech_shop : 34495
