Saved path: salon, pet_store, bakery, jewelry_store, hardware_store, gym, burger_joint, toy_store, grocery_store, cafe, dentist, craft_shop, florist, gelateria, party_store : 47411
Saved path: bike_shop, bakery, pharmacy, bank, craft_shop, gym, hardware_store, burger_joint, bookstore, cafe, grocery_store, toy_store, barber_shop, jewelry_store, salon : 37211
Saved path: gym, bank, craft_shop, dentist, grocery_store, cafe, bookstore, burger_joint, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery, party_store : 35533
Saved path: gym, hardware_store, pet_store, bakery, salon, party_store, pharmacy, music_store, florist, craft_shop, dentist, grocery_store, clothing_store, tech_shop, toy_store : 45558
Saved path: craft_shop, dentist, cafe, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, pet_store, bakery, salon, party_store, music_store, florist, gym : 50478
Saved path: barber_shop, toy_store, noodle_house, tech_shop, cafe, burger_joint, gym, craft_shop, music_store, gelateria, pharmacy, party_store, bike_shop, pet_store, bakery : 46199
Saved path: jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, bookstore, bank, florist, gelateria, pharmacy, bakery, pet_store, bike_shop, salon : 42280
Saved path: craft_shop, pizzeria, bookstore, tech_shop, clothing_store, toy_store, gym, hardware_store, salon, bike_shop, bakery, pharmacy, gelateria, music_store, bank : 34973
Saved path: barber_shop, party_store, pharmacy, bank, craft_shop, pizzeria, bookstore, burger_joint, clothing_store, toy_store, hardware_store, salon, bike_shop, pet_store, bakery : 44682
Saved path: dentist, grocery_store, clothing_store, bookstore, gym, hardware_store, jewelry_store, bike_shop, pet_store, bakery, pharmacy, gelateria, music_store, florist, bank : 50867
Saved path: grocery_store, toy_store, noodle_house, burger_joint, hardware_store, jewelry_store, salon, bike_shop, pet_store, bakery, party_store, pharmacy, florist, dentist, cafe : 45612
Saved path: party_store, pharmacy, gelateria, music_store, florist, dentist, clothing_store, grocery_store, cafe, burger_joint, gym, hardware_store, jewelry_store, bike_shop, pet_store : 49708
Saved path: tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, pet_store, bakery, party_store, gym, florist, bank, craft_shop, bookstore, grocery_store, clothing_store : 43219
Saved path: pizzeria, craft_shop, music_store, gelateria, pharmacy, bakery, pet_store, salon, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, bookstore : 44221
Saved path: pharmacy, party_store, salon, bike_shop, pet_store, hardware_store, toy_store, noodle_house, tech_shop, burger_joint, bookstore, cafe, dentist, florist, music_store : 45514
Saved path: grocery_store, clothing_store, tech_shop, toy_store, barber_shop, bakery, bike_shop, pharmacy, bank, craft_shop, gym, hardware_store, burger_joint, bookstore, cafe : 38239
Saved path: florist, craft_shop, dentist, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, pet_store, bakery, salon, pharmacy, music_store : 48554
Saved path: toy_store, clothing_store, noodle_house, burger_joint, bookstore, dentist, florist, music_store, pharmacy, party_store, salon, bike_shop, bakery, jewelry_store, barber_shop : 41392
Saved path: burger_joint, bookstore, dentist, craft_shop, bank, gelateria, pharmacy, party_store, bike_shop, pet_store, bakery, barber_shop, jewelry_store, hardware_store, noodle_house : 48165
Saved path: tech_shop, burger_joint, gym, hardware_store, pet_store, bakery, salon, party_store, pharmacy, music_store, bookstore, cafe, clothing_store, toy_store, noodle_house : 43299
Saved path: burger_joint, tech_shop, clothing_store, toy_store, gym, pet_store, bakery, jewelry_store, party_store, pharmacy, gelateria, bank, pizzeria, bookstore, cafe : 42493
Saved path: noodle_house, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, pharmacy, florist, dentist, grocery_store, cafe, burger_joint, tech_shop : 46608
Saved path: dentist, craft_shop, pizzeria, bank, florist, party_store, pet_store, bakery, salon, jewelry_store, barber_shop, toy_store, clothing_store, burger_joint, cafe : 45644
Saved path: bookstore, dentist, grocery_store, tech_shop, noodle_house, toy_store, hardware_store, pet_store, bakery, barber_shop, party_store, pharmacy, gelateria, craft_shop, pizzeria : 48928
Saved path: music_store, pharmacy, salon, bike_shop, pet_store, jewelry_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, dentist, bookstore, pizzeria, florist : 49516
