Saved path: florist, pizzeria, tech_shop, cafe, bookstore, hardware_store, toy_store, clothing_store, noodle_house, barber_shop, bike_shop, party_store, bakery, pharmacy, bank : 65725
Saved path: burger_joint, bookstore, pizzeria, craft_shop, pet_store, florist, music_store, pharmacy, bakery, party_store, bike_shop, barber_shop, noodle_house, toy_store, hardware_store : 58998
Saved path: dentist, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, pharmacy, jewelry_store, hardware_store, burger_joint, noodle_house, grocery_store, tech_shop, cafe : 61846
Saved path: bank, music_store, bike_shop, party_store, bakery, gym, toy_store, clothing_store, cafe, dentist, pizzeria, craft_shop, pet_store, florist, gelateria : 61748
Saved path: clothing_store, salon, barber_shop, jewelry_store, bakery, pharmacy, music_store, gelateria, pet_store, gym, bookstore, dentist, pizzeria, tech_shop, grocery_store : 62914
Saved path: gym, toy_store, salon, noodle_house, clothing_store, grocery_store, cafe, dentist, pizzeria, music_store, bank, gelateria, bike_shop, jewelry_store, hardware_store : 66728
Saved path: clothing_store, grocery_store, burger_joint, pizzeria, craft_shop, florist, music_store, bank, gelateria, pet_store, gym, party_store, jewelry_store, barber_shop, noodle_house : 70027
Saved path: bookstore, pizzeria, tech_shop, clothing_store, noodle_house, toy_store, barber_shop, party_store, pharmacy, music_store, gelateria, craft_shop, gym, hardware_store, burger_joint : 59272
Saved path: florist, gym, pizzeria, dentist, cafe, tech_shop, grocery_store, noodle_house, salon, barber_shop, party_store, bakery, pharmacy, gelateria, bank : 63041
Saved path: gelateria, music_store, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, dentist, burger_joint, hardware_store : 58522
Saved path: hardware_store, party_store, jewelry_store, bike_shop, bakery, pharmacy, bank, gelateria, florist, pet_store, craft_shop, gym, cafe, tech_shop, grocery_store : 60592
Saved path: bakery, bike_shop, jewelry_store, hardware_store, florist, bank, pet_store, craft_shop, bookstore, burger_joint, cafe, grocery_store, noodle_house, salon, barber_shop : 66292
Saved path: bookstore, cafe, tech_shop, noodle_house, toy_store, salon, barber_shop, party_store, pharmacy, gelateria, bank, florist, pet_store, gym, hardware_store : 63769
Saved path: florist, craft_shop, pizzeria, cafe, bookstore, clothing_store, noodle_house, salon, jewelry_store, party_store, bakery, pharmacy, gelateria, bank, music_store : 61769
Saved path: noodle_house, tech_shop, cafe, dentist, pizzeria, gym, florist, gelateria, bank, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon : 69441
Saved path: craft_shop, pet_store, bank, music_store, pharmacy, bakery, bike_shop, party_store, jewelry_store, salon, grocery_store, bookstore, burger_joint, dentist, pizzeria : 67758
Saved path: florist, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, toy_store, salon, hardware_store, party_store, bakery, pharmacy, bank, music_store : 60974
Saved path: toy_store, noodle_house, clothing_store, grocery_store, tech_shop, burger_joint, bookstore, cafe, dentist, pizzeria, craft_shop, gelateria, pharmacy, party_store, bike_shop : 50091
