Saved path: jewelry_store, hardware_store, gym, noodle_house, bookstore, cafe, grocery_store, dentist, craft_shop, florist, gelateria, pharmacy, bakery, pet_store, bike_shop : 49408
Saved path: toy_store, grocery_store, cafe, bookstore, florist, music_store, gelateria, pharmacy, party_store, salon, bike_shop, pet_store, burger_joint, tech_shop, noodle_house : 41958
Saved path: craft_shop, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, bakery, pet_store, bike_shop, salon, jewelry_store, gelateria, music_store, bank : 45267
Saved path: jewelry_store, party_store, florist, craft_shop, pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store, tech_shop, toy_store, gym, bike_shop, pet_store : 49056
Saved path: dentist, craft_shop, florist, bank, pizzeria, burger_joint, pet_store, bakery, salon, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store : 43598
Saved path: toy_store, noodle_house, burger_joint, gym, bakery, pet_store, bike_shop, salon, party_store, pharmacy, gelateria, bank, bookstore, dentist, clothing_store : 47137
Saved path: music_store, gelateria, pharmacy, party_store, bakery, pet_store, bike_shop, salon, hardware_store, toy_store, clothing_store, bookstore, craft_shop, bank, florist : 41134
Saved path: grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, jewelry_store, salon, bike_shop, pet_store, bakery, party_store, florist, bank, craft_shop : 41870
Saved path: salon, music_store, gelateria, bookstore, cafe, dentist, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, gym, hardware_store, pet_store : 49607
Saved path: bike_shop, party_store, pharmacy, music_store, florist, pizzeria, cafe, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store : 45187
Saved path: florist, craft_shop, bookstore, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, bakery, bike_shop, salon, party_store, pharmacy, gelateria, music_store : 33211
Saved path: gelateria, florist, bank, craft_shop, bookstore, cafe, grocery_store, toy_store, tech_shop, burger_joint, hardware_store, jewelry_store, bakery, pet_store, bike_shop : 43268
Saved path: pizzeria, craft_shop, florist, music_store, gelateria, pharmacy, pet_store, bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe : 43876
Saved path: bookstore, cafe, tech_shop, toy_store, gym, bakery, pet_store, bike_shop, salon, jewelry_store, party_store, music_store, florist, bank, pizzeria : 43776
Saved path: pet_store, hardware_store, gym, toy_store, clothing_store, grocery_store, dentist, burger_joint, bookstore, pizzeria, craft_shop, florist, gelateria, party_store, bike_shop : 48062
Saved path: pharmacy, florist, bookstore, cafe, tech_shop, clothing_store, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, party_store : 46749
Saved path: bookstore, pizzeria, florist, gelateria, pharmacy, salon, bakery, pet_store, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, dentist, cafe : 43196
Saved path: gym, pizzeria, craft_shop, florist, music_store, gelateria, bakery, bike_shop, jewelry_store, barber_shop, toy_store, tech_shop, grocery_store, dentist, burger_joint : 44621
Saved path: pet_store, bakery, party_store, pharmacy, hardware_store, gym, craft_shop, pizzeria, bookstore, dentist, clothing_store, tech_shop, toy_store, barber_shop, jewelry_store : 49120
Saved path: party_store, pharmacy, gelateria, music_store, florist, bank, gym, toy_store, clothing_store, dentist, bookstore, burger_joint, bakery, bike_shop, salon : 39898
Saved path: bakery, salon, jewelry_store, pharmacy, gelateria, music_store, florist, bank, craft_shop, pizzeria, cafe, burger_joint, toy_store, gym, pet_store : 44079
Saved path: cafe, dentist, grocery_store, tech_shop, toy_store, barber_shop, jewelry_store, bakery, salon, party_store, pharmacy, music_store, florist, pizzeria, bookstore : 37318
Saved path: bakery, party_store, music_store, florist, craft_shop, pizzeria, bookstore, burger_joint, noodle_house, tech_shop, clothing_store, toy_store, gym, hardware_store, pet_store : 43039
Saved path: craft_shop, pizzeria, gym, toy_store, clothing_store, grocery_store, cafe, burger_joint, hardware_store, jewelry_store, bike_shop, pet_store, pharmacy, gelateria, florist : 44574
Saved path: dentist, cafe, bookstore, burger_joint, gym, music_store, gelateria, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, toy_store, tech_shop, grocery_store : 44650
