Saved path: cafe, pizzeria, craft_shop, florist, gelateria, pharmacy, party_store, bike_shop, pet_store, bakery, barber_shop, toy_store, tech_shop, clothing_store, grocery_store : 42955
Saved path: tech_shop, clothing_store, cafe, dentist, craft_shop, pizzeria, gelateria, jewelry_store, barber_shop, bakery, pet_store, hardware_store, gym, toy_store, noodle_house : 50571
Saved path: bookstore, cafe, grocery_store, clothing_store, noodle_house, toy_store, gym, bakery, pet_store, salon, jewelry_store, party_store, gelateria, music_store, florist : 44832
Saved path: bakery, pet_store, bike_shop, party_store, pharmacy, music_store, florist, craft_shop, dentist, grocery_store, clothing_store, burger_joint, noodle_house, toy_store, barber_shop : 49618
Saved path: craft_shop, pizzeria, gym, hardware_store, burger_joint, cafe, toy_store, barber_shop, jewelry_store, bakery, salon, party_store, pharmacy, gelateria, florist : 33738
Saved path: pet_store, salon, jewelry_store, hardware_store, burger_joint, bookstore, tech_shop, toy_store, clothing_store, grocery_store, dentist, florist, music_store, gelateria, pharmacy : 49168
Saved path: toy_store, noodle_house, tech_shop, clothing_store, cafe, dentist, craft_shop, pizzeria, bank, music_store, pharmacy, salon, bakery, pet_store, gym : 46391
Saved path: burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, dentist, craft_shop, florist, gelateria, bakery, pet_store, bike_shop, hardware_store, gym : 46068
Saved path: barber_shop, toy_store, burger_joint, bookstore, cafe, grocery_store, dentist, craft_shop, florist, music_store, pharmacy, party_store, salon, bakery, pet_store : 48791
Saved path: pharmacy, party_store, pet_store, bakery, salon, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, cafe, pizzeria, craft_shop, florist : 41012
Saved path: grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, salon, pet_store, bakery, pharmacy, music_store, bank, pizzeria, gym, hardware_store, cafe : 46609
Saved path: barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, gelateria, florist, bank, pizzeria, dentist, cafe, toy_store, gym, hardware_store : 50478
Saved path: barber_shop, toy_store, grocery_store, dentist, cafe, burger_joint, gym, pizzeria, bank, florist, music_store, pharmacy, party_store, salon, bakery : 39798
Saved path: pet_store, bike_shop, salon, pharmacy, gelateria, music_store, florist, bank, bookstore, dentist, grocery_store, tech_shop, noodle_house, toy_store, bakery : 46337
Saved path: clothing_store, grocery_store, bookstore, pizzeria, craft_shop, music_store, party_store, bakery, pet_store, bike_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop : 44555
Saved path: pizzeria, craft_shop, dentist, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, pharmacy, party_store, bakery, salon, jewelry_store, hardware_store, gym : 35832
Saved path: clothing_store, toy_store, noodle_house, burger_joint, gym, bike_shop, pet_store, bakery, pharmacy, gelateria, music_store, craft_shop, bookstore, cafe, grocery_store : 44778
Saved path: cafe, clothing_store, tech_shop, noodle_house, toy_store, jewelry_store, pet_store, bike_shop, salon, party_store, pharmacy, gelateria, music_store, florist, craft_shop : 44461
Saved path: tech_shop, burger_joint, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, salon, music_store, gelateria, bank, cafe, grocery_store, toy_store, noodle_house : 39262
Saved path: hardware_store, salon, bike_shop, bakery, party_store, music_store, craft_shop, pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store, noodle_house, toy_store : 37731
Saved path: bakery, gym, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, dentist, cafe, bookstore, bank, music_store, salon, bike_shop, pet_store : 49397
Saved path: burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, dentist, craft_shop, pizzeria, florist, music_store, gelateria, bike_shop, jewelry_store, hardware_store : 40435
