Saved path: bank, craft_shop, dentist, burger_joint, clothing_store, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, pharmacy, gelateria, music_store : 49508
Saved path: salon, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, bookstore, pizzeria, florist, music_store, gelateria, bakery, pet_store, bike_shop : 41999
Saved path: party_store, salon, jewelry_store, gym, toy_store, clothing_store, tech_shop, noodle_house, burger_joint, bookstore, craft_shop, florist, music_store, gelateria, pharmacy : 34839
Saved path: jewelry_store, party_store, hardware_store, gym, bank, bookstore, cafe, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, pet_store, bakery, salon : 40682
Saved path: bookstore, pizzeria, craft_shop, florist, gelateria, pharmacy, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, clothing_store, dentist, burger_joint : 39372
Saved path: pizzeria, craft_shop, music_store, gelateria, pharmacy, party_store, salon, bike_shop, bakery, barber_shop, toy_store, tech_shop, cafe, burger_joint, gym : 37621
Saved path: bank, craft_shop, bookstore, cafe, burger_joint, noodle_house, toy_store, gym, jewelry_store, bike_shop, pet_store, bakery, party_store, pharmacy, florist : 42276
Saved path: bakery, barber_shop, jewelry_store, hardware_store, toy_store, clothing_store, tech_shop, bookstore, cafe, dentist, craft_shop, bank, florist, music_store, party_store : 39386
Saved path: music_store, craft_shop, gym, toy_store, grocery_store, burger_joint, hardware_store, jewelry_store, salon, bike_shop, pet_store, bakery, party_store, pharmacy, gelateria : 46293
Saved path: gym, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, party_store, gelateria, pizzeria, bookstore, cafe, dentist, clothing_store, toy_store : 52076
Saved path: craft_shop, music_store, gelateria, pharmacy, party_store, salon, bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, bookstore, cafe, dentist : 39106
Saved path: party_store, pharmacy, gelateria, florist, bank, pizzeria, bookstore, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, hardware_store, pet_store, bakery : 37434
Saved path: clothing_store, bookstore, cafe, dentist, craft_shop, music_store, pharmacy, party_store, salon, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, toy_store : 42280
Saved path: gelateria, bank, craft_shop, pizzeria, gym, burger_joint, cafe, dentist, grocery_store, toy_store, barber_shop, jewelry_store, salon, bike_shop, bakery : 41320
Saved path: grocery_store, pizzeria, craft_shop, bank, music_store, pharmacy, salon, bakery, barber_shop, jewelry_store, hardware_store, burger_joint, tech_shop, noodle_house, toy_store : 36203
Saved path: bike_shop, party_store, pharmacy, florist, craft_shop, bookstore, grocery_store, clothing_store, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, pet_store : 46320
Saved path: jewelry_store, barber_shop, pharmacy, gelateria, florist, bank, dentist, clothing_store, cafe, bookstore, burger_joint, gym, hardware_store, pet_store, bakery : 49645
Saved path: salon, party_store, gym, craft_shop, pizzeria, bookstore, cafe, burger_joint, noodle_house, toy_store, barber_shop, jewelry_store, bakery, pet_store, bike_shop : 38894
Saved path: barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, gelateria, music_store, bank, craft_shop, dentist, bookstore, grocery_store, clothing_store, toy_store : 50012
Saved path: music_store, gelateria, pharmacy, party_store, salon, bakery, barber_shop, toy_store, grocery_store, tech_shop, burger_joint, gym, pizzeria, craft_shop, florist : 35987
Saved path: bookstore, pizzeria, bank, gelateria, music_store, pharmacy, jewelry_store, bakery, pet_store, gym, burger_joint, tech_shop, toy_store, grocery_store, cafe : 45228
Saved path: noodle_house, burger_joint, bookstore, pizzeria, craft_shop, florist, gelateria, bakery, pet_store, bike_shop, jewelry_store, hardware_store, gym, toy_store, clothing_store : 45505
Saved path: party_store, salon, bakery, pet_store, jewelry_store, barber_shop, toy_store, tech_shop, bookstore, cafe, burger_joint, hardware_store, gym, florist, pharmacy : 43778
Saved path: gelateria, music_store, florist, craft_shop, pizzeria, burger_joint, cafe, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, bakery : 37319
Saved path: pet_store, bakery, salon, jewelry_store, party_store, pharmacy, music_store, florist, bookstore, dentist, grocery_store, clothing_store, tech_shop, noodle_house, toy_store : 47320
Saved path: burger_joint, bookstore, pizzeria, craft_shop, dentist, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, salon, bike_shop, bakery, party_store, hardware_store : 35934
Saved path: noodle_house, toy_store, barber_shop, jewelry_store, salon, bakery, pet_store, hardware_store, burger_joint, bank, florist, craft_shop, dentist, grocery_store, tech_shop : 44398
Saved path: party_store, music_store, pharmacy, hardware_store, gym, bookstore, cafe, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, salon, bakery, pet_store : 46847
Saved path: bakery, barber_shop, party_store, pharmacy, florist, pizzeria, dentist, cafe, clothing_store, noodle_house, toy_store, hardware_store, salon, bike_shop, pet_store : 48778
Saved path: dentist, cafe, bookstore, pizzeria, craft_shop, pharmacy, party_store, salon, bike_shop, pet_store, bakery, barber_shop, toy_store, noodle_house, grocery_store : 47588
Saved path: gym, hardware_store, pet_store, bakery, barber_shop, pharmacy, gelateria, music_store, bank, dentist, cafe, grocery_store, tech_shop, noodle_house, toy_store : 51920
Saved path: clothing_store, tech_shop, toy_store, barber_shop, jewelry_store, bakery, bike_shop, pharmacy, florist, gym, hardware_store, burger_joint, bookstore, dentist, grocery_store : 43242
Saved path: bakery, salon, jewelry_store, hardware_store, gym, burger_joint, noodle_house, toy_store, clothing_store, dentist, pizzeria, bank, florist, gelateria, party_store : 37218
Saved path: pet_store, bakery, party_store, gelateria, florist, bank, dentist, grocery_store, clothing_store, tech_shop, toy_store, gym, hardware_store, jewelry_store, barber_shop : 48893
Saved path: barber_shop, toy_store, noodle_house, tech_shop, bookstore, cafe, dentist, craft_shop, gym, bank, florist, pharmacy, party_store, pet_store, bakery : 47315
Saved path: grocery_store, dentist, pizzeria, bank, florist, music_store, pharmacy, barber_shop, bakery, pet_store, bike_shop, salon, hardware_store, toy_store, tech_shop : 50621
