Saved path: bakery, pet_store, salon, party_store, gelateria, florist, gym, hardware_store, burger_joint, bookstore, tech_shop, clothing_store, toy_store, barber_shop, jewelry_store : 45631
Saved path: bakery, jewelry_store, barber_shop, toy_store, clothing_store, cafe, bookstore, burger_joint, gym, craft_shop, music_store, gelateria, pharmacy, party_store, pet_store : 46366
Saved path: hardware_store, gym, burger_joint, noodle_house, toy_store, clothing_store, dentist, florist, music_store, gelateria, pharmacy, bike_shop, pet_store, bakery, jewelry_store : 51095
Saved path: toy_store, tech_shop, bookstore, pizzeria, craft_shop, florist, music_store, gelateria, pharmacy, party_store, barber_shop, bakery, pet_store, hardware_store, gym : 46334
Saved path: bakery, toy_store, noodle_house, tech_shop, clothing_store, cafe, burger_joint, gym, pizzeria, gelateria, party_store, jewelry_store, salon, bike_shop, pet_store : 44403
Saved path: noodle_house, toy_store, gym, hardware_store, bakery, pet_store, bike_shop, salon, pharmacy, gelateria, florist, bank, craft_shop, pizzeria, bookstore : 40062
Saved path: noodle_house, toy_store, grocery_store, pizzeria, craft_shop, florist, music_store, pharmacy, jewelry_store, salon, bike_shop, pet_store, bakery, burger_joint, tech_shop : 44513
Saved path: tech_shop, noodle_house, toy_store, jewelry_store, bike_shop, bakery, party_store, pharmacy, gelateria, music_store, bank, craft_shop, pizzeria, bookstore, clothing_store : 34976
Saved path: gym, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, dentist, pizzeria, music_store, gelateria, party_store, bike_shop, bakery, barber_shop, hardware_store : 45722
Saved path: bakery, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, cafe, bookstore, burger_joint, gym, pizzeria, gelateria, music_store, salon, bike_shop : 40220
Saved path: dentist, cafe, grocery_store, tech_shop, noodle_house, toy_store, gym, hardware_store, bike_shop, pet_store, bakery, gelateria, music_store, florist, craft_shop : 48087
Saved path: bakery, jewelry_store, barber_shop, toy_store, tech_shop, grocery_store, bookstore, burger_joint, hardware_store, gym, craft_shop, florist, pharmacy, salon, pet_store : 45776
Saved path: party_store, pharmacy, music_store, gelateria, pizzeria, bookstore, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, hardware_store, jewelry_store, bakery, salon : 32995
Saved path: jewelry_store, hardware_store, gym, toy_store, clothing_store, tech_shop, bookstore, cafe, dentist, music_store, pharmacy, bike_shop, pet_store, bakery, barber_shop : 54715
Saved path: grocery_store, dentist, cafe, bookstore, pizzeria, craft_shop, music_store, gelateria, jewelry_store, pet_store, bike_shop, gym, burger_joint, tech_shop, toy_store : 53258
Saved path: barber_shop, jewelry_store, bike_shop, pet_store, bakery, party_store, gelateria, music_store, pizzeria, bookstore, dentist, grocery_store, clothing_store, tech_shop, toy_store : 50601
Saved path: gelateria, pharmacy, party_store, bakery, pet_store, jewelry_store, toy_store, clothing_store, tech_shop, burger_joint, cafe, dentist, craft_shop, florist, music_store : 46316
Saved path: pharmacy, music_store, craft_shop, gym, pizzeria, bookstore, dentist, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery, salon : 42323
