Saved path: gelateria, music_store, florist, pizzeria, bookstore, dentist, grocery_store, clothing_store, toy_store, hardware_store, barber_shop, bakery, bike_shop, salon, party_store : 42783
Saved path: gym, hardware_store, jewelry_store, barber_shop, pet_store, bakery, pharmacy, gelateria, florist, bank, craft_shop, bookstore, tech_shop, clothing_store, toy_store : 45461
Saved path: dentist, grocery_store, clothing_store, tech_shop, toy_store, hardware_store, jewelry_store, barber_shop, bakery, party_store, pharmacy, music_store, craft_shop, pizzeria, bookstore : 40218
Saved path: music_store, gelateria, bakery, pet_store, bike_shop, jewelry_store, gym, toy_store, grocery_store, dentist, cafe, bookstore, pizzeria, craft_shop, florist : 51424
Saved path: pharmacy, party_store, salon, bike_shop, bakery, jewelry_store, hardware_store, toy_store, noodle_house, grocery_store, cafe, dentist, craft_shop, pizzeria, florist : 36434
Saved path: bookstore, pizzeria, craft_shop, bank, florist, gelateria, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, toy_store, clothing_store, dentist, burger_joint : 41881
Saved path: jewelry_store, barber_shop, toy_store, clothing_store, dentist, cafe, bookstore, gym, music_store, gelateria, pharmacy, bakery, pet_store, bike_shop, salon : 53135
Saved path: dentist, grocery_store, clothing_store, toy_store, gym, music_store, gelateria, pharmacy, party_store, salon, bike_shop, bakery, burger_joint, bookstore, cafe : 39898
Saved path: florist, music_store, pharmacy, party_store, salon, bakery, gym, toy_store, clothing_store, grocery_store, dentist, bookstore, pizzeria, craft_shop, bank : 35758
Saved path: dentist, cafe, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, pet_store, bike_shop, jewelry_store, pharmacy, florist, pizzeria, craft_shop : 48741
Saved path: pharmacy, florist, bank, pizzeria, bookstore, burger_joint, cafe, dentist, grocery_store, clothing_store, toy_store, hardware_store, bike_shop, pet_store, bakery : 44117
Saved path: jewelry_store, bakery, pet_store, bike_shop, pharmacy, gelateria, music_store, florist, bank, bookstore, burger_joint, cafe, dentist, grocery_store, toy_store : 49422
Saved path: cafe, bookstore, craft_shop, gelateria, pharmacy, party_store, salon, bike_shop, pet_store, hardware_store, gym, toy_store, tech_shop, clothing_store, grocery_store : 42346
Saved path: party_store, gelateria, music_store, pizzeria, craft_shop, dentist, cafe, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, gym, pet_store : 47418
Saved path: music_store, gelateria, pharmacy, party_store, barber_shop, bakery, pet_store, bike_shop, hardware_store, toy_store, clothing_store, grocery_store, dentist, pizzeria, bank : 50719
Saved path: toy_store, grocery_store, dentist, cafe, bookstore, pizzeria, florist, gelateria, jewelry_store, salon, pet_store, bakery, gym, burger_joint, tech_shop : 48671
Saved path: pizzeria, bank, music_store, gelateria, pharmacy, bike_shop, bakery, hardware_store, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, dentist, bookstore : 38692
Saved path: clothing_store, grocery_store, dentist, cafe, bookstore, pizzeria, music_store, pharmacy, party_store, jewelry_store, salon, pet_store, bakery, toy_store, tech_shop : 47118
Saved path: bakery, gelateria, music_store, florist, bank, craft_shop, bookstore, grocery_store, noodle_house, toy_store, gym, hardware_store, jewelry_store, salon, bike_shop : 38277
