Saved path: gym, bike_shop, pet_store, bakery, jewelry_store, party_store, gelateria, florist, craft_shop, pizzeria, bookstore, tech_shop, grocery_store, clothing_store, toy_store : 44094
Saved path: cafe, bookstore, bank, florist, gelateria, pharmacy, bakery, pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store, tech_shop, burger_joint : 41346
Saved path: hardware_store, jewelry_store, barber_shop, bakery, pharmacy, gelateria, music_store, florist, pizzeria, bookstore, dentist, clothing_store, toy_store, tech_shop, burger_joint : 41223
Saved path: burger_joint, gym, bakery, salon, party_store, pharmacy, music_store, bank, pizzeria, dentist, cafe, grocery_store, toy_store, noodle_house, tech_shop : 36429
Saved path: florist, gym, hardware_store, burger_joint, bookstore, cafe, grocery_store, clothing_store, toy_store, barber_shop, bakery, pet_store, party_store, pharmacy, gelateria : 44789
Saved path: pharmacy, gelateria, music_store, florist, pizzeria, cafe, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, bakery, pet_store, bike_shop, salon : 42433
Saved path: bank, florist, pharmacy, party_store, salon, bakery, barber_shop, hardware_store, burger_joint, bookstore, tech_shop, toy_store, clothing_store, dentist, craft_shop : 38004
Saved path: bank, gelateria, music_store, pharmacy, salon, bike_shop, bakery, barber_shop, toy_store, clothing_store, tech_shop, noodle_house, burger_joint, bookstore, craft_shop : 37027
Saved path: burger_joint, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, pet_store, bakery, salon, party_store, pharmacy, music_store, bank, gym : 44995
Saved path: toy_store, noodle_house, tech_shop, grocery_store, dentist, cafe, bookstore, pizzeria, bank, florist, pharmacy, salon, bakery, pet_store, barber_shop : 45644
Saved path: hardware_store, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, bookstore, craft_shop, bank, florist, party_store, barber_shop, bakery, pet_store, bike_shop : 45717
Saved path: florist, bank, craft_shop, gym, noodle_house, tech_shop, grocery_store, toy_store, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, gelateria, music_store : 38151
Saved path: cafe, bookstore, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, bakery, salon, pharmacy, gelateria, music_store, bank, craft_shop, dentist : 38720
Saved path: gym, craft_shop, music_store, party_store, bakery, pet_store, bike_shop, jewelry_store, hardware_store, burger_joint, cafe, grocery_store, clothing_store, tech_shop, toy_store : 46567
Saved path: toy_store, tech_shop, burger_joint, bookstore, dentist, craft_shop, pizzeria, bank, music_store, party_store, salon, bike_shop, pet_store, bakery, hardware_store : 46237
Saved path: dentist, cafe, grocery_store, tech_shop, toy_store, barber_shop, pet_store, bakery, salon, party_store, pharmacy, music_store, bank, pizzeria, craft_shop : 47275
Saved path: grocery_store, cafe, hardware_store, gym, florist, pharmacy, party_store, pet_store, bakery, salon, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop : 43901
Saved path: party_store, gelateria, music_store, florist, bank, craft_shop, pizzeria, bookstore, burger_joint, cafe, dentist, grocery_store, toy_store, gym, bakery : 37166
Saved path: music_store, florist, pizzeria, bookstore, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, barber_shop, bakery, salon, party_store, pharmacy : 35279
Saved path: bike_shop, pet_store, bakery, party_store, pharmacy, gelateria, florist, bank, pizzeria, burger_joint, noodle_house, tech_shop, clothing_store, toy_store, hardware_store : 39884
Saved path: noodle_house, tech_shop, clothing_store, grocery_store, dentist, bookstore, florist, music_store, party_store, salon, bakery, pet_store, hardware_store, gym, toy_store : 48048
Saved path: barber_shop, bakery, pet_store, bike_shop, salon, music_store, gym, pizzeria, craft_shop, dentist, cafe, grocery_store, clothing_store, tech_shop, toy_store : 52914
Saved path: grocery_store, clothing_store, noodle_house, toy_store, hardware_store, jewelry_store, bakery, bike_shop, salon, pharmacy, gelateria, music_store, florist, bookstore, dentist : 40687
Saved path: clothing_store, grocery_store, cafe, hardware_store, gym, pizzeria, craft_shop, bank, gelateria, music_store, bike_shop, bakery, barber_shop, toy_store, noodle_house : 40912
Saved path: bakery, pet_store, hardware_store, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, cafe, dentist, craft_shop, gelateria, pharmacy, party_store, barber_shop : 47613
