Saved path: burger_joint, hardware_store, barber_shop, bakery, salon, party_store, gelateria, bank, craft_shop, pizzeria, grocery_store, clothing_store, toy_store, noodle_house, tech_shop : 34314
Saved path: pharmacy, music_store, florist, bank, craft_shop, cafe, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, salon, pet_store, bakery, barber_shop : 46598
Saved path: grocery_store, cafe, gym, pizzeria, craft_shop, music_store, gelateria, party_store, pet_store, bakery, salon, jewelry_store, barber_shop, toy_store, tech_shop : 46952
Saved path: pharmacy, gelateria, music_store, florist, bank, craft_shop, pizzeria, burger_joint, clothing_store, toy_store, barber_shop, jewelry_store, bike_shop, bakery, party_store : 36272
Saved path: gym, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, party_store, pharmacy, salon, bike_shop, pet_store, bakery : 42603
Saved path: gelateria, music_store, florist, craft_shop, pizzeria, gym, burger_joint, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, pet_store, bakery, party_store : 46690
Saved path: cafe, bookstore, tech_shop, clothing_store, toy_store, gym, jewelry_store, salon, bike_shop, pet_store, bakery, music_store, florist, bank, dentist : 50867
Saved path: toy_store, clothing_store, tech_shop, cafe, dentist, pizzeria, music_store, gelateria, pharmacy, party_store, salon, bike_shop, pet_store, bakery, gym : 48286
Saved path: pizzeria, bank, music_store, gelateria, pharmacy, bakery, pet_store, jewelry_store, hardware_store, gym, toy_store, grocery_store, cafe, burger_joint, bookstore : 45430
Saved path: tech_shop, burger_joint, bakery, pet_store, bike_shop, jewelry_store, party_store, pharmacy, gelateria, bank, craft_shop, cafe, grocery_store, clothing_store, toy_store : 42422
Saved path: music_store, gelateria, pet_store, bakery, salon, barber_shop, toy_store, clothing_store, grocery_store, cafe, hardware_store, gym, craft_shop, bank, florist : 46991
Saved path: gym, hardware_store, bakery, bike_shop, salon, party_store, music_store, pizzeria, bookstore, dentist, grocery_store, clothing_store, toy_store, noodle_house, burger_joint : 40576
Saved path: dentist, grocery_store, clothing_store, toy_store, gym, bike_shop, bakery, pharmacy, music_store, florist, craft_shop, pizzeria, bookstore, burger_joint, cafe : 39805
Saved path: florist, bank, dentist, cafe, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, pet_store, bakery, party_store, gelateria, music_store : 43854
Saved path: craft_shop, bank, florist, music_store, gelateria, bike_shop, pet_store, bakery, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, dentist : 45225
Saved path: gelateria, pharmacy, party_store, salon, bakery, jewelry_store, hardware_store, gym, toy_store, tech_shop, bookstore, cafe, dentist, craft_shop, florist : 35898
Saved path: cafe, grocery_store, clothing_store, toy_store, barber_shop, bakery, bike_shop, party_store, pharmacy, bank, pizzeria, gym, hardware_store, burger_joint, bookstore : 37583
