Saved path: bakery, pet_store, bike_shop, pharmacy, gelateria, pizzeria, dentist, clothing_store, toy_store, noodle_house, burger_joint, gym, hardware_store, jewelry_store, barber_shop : 52376
Saved path: gelateria, pharmacy, salon, bike_shop, pet_store, bakery, barber_shop, hardware_store, gym, toy_store, noodle_house, dentist, bookstore, pizzeria, florist : 52044
Saved path: pet_store, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house, bookstore, dentist, craft_shop, pizzeria, music_store, pharmacy, bike_shop : 54074
Saved path: gym, burger_joint, noodle_house, clothing_store, grocery_store, dentist, craft_shop, music_store, pharmacy, party_store, barber_shop, jewelry_store, bakery, pet_store, hardware_store : 50274
Saved path: craft_shop, pizzeria, bookstore, cafe, burger_joint, noodle_house, toy_store, gym, hardware_store, bakery, pharmacy, gelateria, music_store, florist, bank : 31073
Saved path: craft_shop, pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store, toy_store, hardware_store, pet_store, bakery, salon, party_store, gelateria, florist : 42843
Saved path: burger_joint, gym, pizzeria, gelateria, music_store, party_store, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, grocery_store, dentist, bookstore : 44916
Saved path: pizzeria, bank, music_store, bike_shop, pet_store, bakery, barber_shop, toy_store, noodle_house, burger_joint, tech_shop, clothing_store, grocery_store, dentist, craft_shop : 50613
Saved path: bank, florist, music_store, gelateria, party_store, bakery, bike_shop, jewelry_store, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, craft_shop : 36815
Saved path: barber_shop, hardware_store, gym, toy_store, noodle_house, clothing_store, grocery_store, dentist, pizzeria, bank, music_store, party_store, salon, bike_shop, bakery : 44210
Saved path: toy_store, noodle_house, clothing_store, cafe, dentist, pizzeria, bank, florist, music_store, barber_shop, jewelry_store, salon, bakery, pet_store, hardware_store : 50030
Saved path: gelateria, pharmacy, party_store, barber_shop, jewelry_store, salon, bakery, pet_store, hardware_store, toy_store, clothing_store, tech_shop, cafe, pizzeria, craft_shop : 44027
Saved path: bakery, music_store, gelateria, bank, dentist, cafe, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, jewelry_store, salon, bike_shop, pet_store : 48331
Saved path: bank, craft_shop, pizzeria, bookstore, cafe, tech_shop, noodle_house, toy_store, gym, hardware_store, salon, bike_shop, bakery, pharmacy, gelateria : 31434
Saved path: gelateria, music_store, bank, gym, hardware_store, noodle_house, tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, bakery, bike_shop, salon, pharmacy : 38661
Saved path: bank, music_store, pharmacy, salon, bike_shop, pet_store, bakery, hardware_store, gym, toy_store, clothing_store, tech_shop, burger_joint, bookstore, craft_shop : 44278
Saved path: gym, pizzeria, craft_shop, bank, florist, gelateria, pharmacy, bike_shop, bakery, burger_joint, cafe, grocery_store, clothing_store, tech_shop, toy_store : 32700
