Saved path: craft_shop, dentist, bookstore, tech_shop, clothing_store, noodle_house, salon, hardware_store, jewelry_store, bike_shop, bakery, bank, music_store, florist, pet_store : 67216
Saved path: jewelry_store, party_store, hardware_store, salon, noodle_house, clothing_store, tech_shop, bookstore, burger_joint, dentist, pizzeria, pet_store, florist, gelateria, pharmacy : 60763
Saved path: grocery_store, clothing_store, noodle_house, hardware_store, bike_shop, party_store, pharmacy, bank, gelateria, florist, pet_store, craft_shop, pizzeria, dentist, cafe : 60528
Saved path: bank, music_store, pharmacy, bike_shop, jewelry_store, barber_shop, gym, burger_joint, bookstore, cafe, grocery_store, tech_shop, pizzeria, craft_shop, pet_store : 68945
Saved path: bookstore, cafe, tech_shop, pizzeria, florist, gelateria, pet_store, gym, hardware_store, party_store, jewelry_store, salon, toy_store, clothing_store, grocery_store : 61794
Saved path: cafe, bookstore, florist, music_store, gelateria, pharmacy, party_store, jewelry_store, barber_shop, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, tech_shop : 55111
Saved path: party_store, gym, burger_joint, bookstore, noodle_house, grocery_store, cafe, dentist, pizzeria, craft_shop, florist, gelateria, bank, music_store, pharmacy : 58654
Saved path: tech_shop, pizzeria, pet_store, bank, gelateria, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, hardware_store, bookstore, clothing_store : 72147
Saved path: bookstore, clothing_store, grocery_store, dentist, pizzeria, craft_shop, florist, bank, gelateria, bakery, barber_shop, salon, hardware_store, gym, burger_joint : 59052
Saved path: hardware_store, gym, florist, music_store, bank, party_store, jewelry_store, bike_shop, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, bookstore, burger_joint : 64262
