Saved path: noodle_house, tech_shop, burger_joint, bookstore, dentist, craft_shop, pizzeria, gym, bank, gelateria, party_store, bakery, jewelry_store, barber_shop, toy_store : 38986
Saved path: bike_shop, salon, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, cafe, pizzeria, bank, florist, gelateria, party_store, bakery, pet_store : 41375
Saved path: bookstore, cafe, grocery_store, toy_store, noodle_house, burger_joint, hardware_store, salon, bike_shop, bakery, party_store, pharmacy, gelateria, music_store, craft_shop : 33688
Saved path: grocery_store, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, bakery, salon, gelateria, florist, bank, craft_shop, pizzeria, cafe : 33138
Saved path: barber_shop, jewelry_store, bakery, pet_store, pharmacy, florist, bank, pizzeria, bookstore, burger_joint, dentist, grocery_store, clothing_store, tech_shop, toy_store : 46469
Saved path: barber_shop, jewelry_store, salon, bakery, pharmacy, music_store, bank, gym, burger_joint, cafe, dentist, grocery_store, clothing_store, noodle_house, toy_store : 39781
Saved path: gym, hardware_store, pharmacy, music_store, gelateria, party_store, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, cafe : 39226
Saved path: craft_shop, dentist, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, bakery, pet_store, bike_shop, pharmacy, music_store, bank, pizzeria : 45397
Saved path: bike_shop, salon, hardware_store, toy_store, noodle_house, tech_shop, grocery_store, bookstore, burger_joint, gym, craft_shop, music_store, gelateria, bakery, pet_store : 45900
Saved path: bike_shop, bakery, jewelry_store, hardware_store, gym, toy_store, noodle_house, burger_joint, cafe, dentist, bookstore, pizzeria, music_store, gelateria, pharmacy : 42776
Saved path: burger_joint, gym, pizzeria, bank, florist, music_store, party_store, bike_shop, pet_store, bakery, toy_store, noodle_house, tech_shop, clothing_store, cafe : 43537
Saved path: pet_store, bakery, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, burger_joint, gym, bank, florist, music_store, gelateria, pharmacy : 45215
Saved path: burger_joint, gym, pizzeria, craft_shop, florist, gelateria, pharmacy, party_store, salon, bike_shop, bakery, jewelry_store, hardware_store, toy_store, grocery_store : 35275
Saved path: bank, craft_shop, bookstore, cafe, grocery_store, toy_store, gym, hardware_store, jewelry_store, bakery, salon, pharmacy, gelateria, music_store, florist : 34558
Saved path: pharmacy, gelateria, bank, bookstore, burger_joint, cafe, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, pet_store, bakery : 43423
Saved path: barber_shop, jewelry_store, bakery, pet_store, bike_shop, party_store, pharmacy, gelateria, music_store, craft_shop, pizzeria, cafe, tech_shop, noodle_house, toy_store : 43985
Saved path: gelateria, florist, craft_shop, gym, hardware_store, bookstore, grocery_store, clothing_store, barber_shop, jewelry_store, bike_shop, pet_store, bakery, party_store, pharmacy : 46425
Saved path: florist, music_store, pharmacy, party_store, salon, bike_shop, bakery, gym, toy_store, clothing_store, tech_shop, burger_joint, cafe, bookstore, craft_shop : 34802
Saved path: salon, jewelry_store, gym, toy_store, noodle_house, clothing_store, cafe, pizzeria, craft_shop, music_store, gelateria, pharmacy, bakery, pet_store, bike_shop : 46775
Saved path: bookstore, burger_joint, clothing_store, toy_store, gym, bakery, pet_store, bike_shop, salon, gelateria, florist, bank, craft_shop, dentist, cafe : 46913
Saved path: grocery_store, clothing_store, noodle_house, toy_store, gym, hardware_store, bike_shop, pet_store, bakery, gelateria, music_store, florist, bank, pizzeria, dentist : 48505
Saved path: gelateria, pharmacy, party_store, barber_shop, bakery, pet_store, hardware_store, burger_joint, noodle_house, toy_store, clothing_store, cafe, dentist, pizzeria, florist : 48367
Saved path: bookstore, pizzeria, gym, craft_shop, music_store, party_store, bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store, clothing_store, noodle_house, burger_joint : 49128
Saved path: burger_joint, gym, craft_shop, bank, florist, pharmacy, bakery, jewelry_store, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, dentist, cafe : 37279
Saved path: bookstore, pizzeria, bank, florist, gelateria, pharmacy, party_store, salon, bakery, pet_store, toy_store, clothing_store, dentist, cafe, burger_joint : 42633
Saved path: gelateria, party_store, salon, bike_shop, pet_store, hardware_store, gym, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, dentist, pizzeria, florist : 46991
