Saved path: pharmacy, party_store, bakery, pet_store, bike_shop, hardware_store, gym, toy_store, clothing_store, grocery_store, bookstore, dentist, craft_shop, florist, music_store : 48650
Saved path: party_store, pharmacy, gelateria, music_store, florist, craft_shop, dentist, grocery_store, toy_store, tech_shop, bookstore, burger_joint, pet_store, bike_shop, salon : 46955
Saved path: bike_shop, bakery, jewelry_store, hardware_store, gym, toy_store, noodle_house, tech_shop, grocery_store, bookstore, pizzeria, craft_shop, florist, music_store, party_store : 37524
Saved path: bank, florist, gelateria, party_store, salon, bike_shop, bakery, gym, toy_store, clothing_store, grocery_store, tech_shop, bookstore, dentist, craft_shop : 37481
Saved path: toy_store, clothing_store, grocery_store, dentist, craft_shop, pizzeria, bank, music_store, gelateria, bike_shop, bakery, hardware_store, gym, burger_joint, tech_shop : 40135
Saved path: gym, hardware_store, jewelry_store, bakery, pharmacy, bank, pizzeria, craft_shop, dentist, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store : 36050
Saved path: pharmacy, salon, bike_shop, bakery, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, dentist, burger_joint, gym, pizzeria, music_store, gelateria : 44317
Saved path: salon, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, toy_store, tech_shop, grocery_store, dentist, craft_shop, pizzeria, florist, gelateria, party_store : 39433
Saved path: toy_store, tech_shop, clothing_store, dentist, bookstore, pizzeria, craft_shop, bank, gelateria, music_store, party_store, bakery, pet_store, jewelry_store, hardware_store : 48738
Saved path: tech_shop, burger_joint, cafe, craft_shop, bank, florist, music_store, salon, bakery, pet_store, barber_shop, jewelry_store, hardware_store, toy_store, clothing_store : 46674
Saved path: bookstore, florist, music_store, party_store, salon, bike_shop, pet_store, bakery, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, dentist, cafe : 46556
Saved path: craft_shop, pizzeria, bookstore, burger_joint, hardware_store, party_store, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, dentist : 39552
Saved path: pizzeria, bank, florist, gym, hardware_store, party_store, bike_shop, pet_store, bakery, barber_shop, toy_store, noodle_house, grocery_store, burger_joint, bookstore : 46256
Saved path: bank, florist, music_store, party_store, jewelry_store, bike_shop, pet_store, bakery, toy_store, noodle_house, clothing_store, grocery_store, cafe, bookstore, pizzeria : 42832
Saved path: jewelry_store, bakery, bike_shop, salon, party_store, music_store, florist, gym, hardware_store, burger_joint, cafe, bookstore, tech_shop, toy_store, barber_shop : 38513
Saved path: burger_joint, gym, craft_shop, florist, music_store, pharmacy, bike_shop, pet_store, bakery, barber_shop, toy_store, tech_shop, grocery_store, dentist, cafe : 52242
Saved path: dentist, bookstore, burger_joint, gym, pizzeria, bank, florist, pharmacy, party_store, pet_store, bakery, jewelry_store, barber_shop, toy_store, clothing_store : 48895
Saved path: bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, cafe, bookstore, gym, bank, florist, music_store, salon, bike_shop, pet_store : 46241
Saved path: jewelry_store, bakery, bike_shop, gym, toy_store, clothing_store, tech_shop, burger_joint, bookstore, pizzeria, bank, florist, music_store, gelateria, pharmacy : 37090
