Saved path: pharmacy, gelateria, music_store, florist, craft_shop, bookstore, cafe, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, jewelry_store, salon, party_store : 32955
Saved path: cafe, dentist, craft_shop, bank, florist, music_store, pharmacy, barber_shop, bakery, pet_store, bike_shop, hardware_store, toy_store, tech_shop, bookstore : 50308
Saved path: bakery, jewelry_store, barber_shop, toy_store, tech_shop, grocery_store, dentist, burger_joint, gym, craft_shop, bank, florist, pharmacy, salon, bike_shop : 40301
Saved path: burger_joint, noodle_house, toy_store, grocery_store, cafe, dentist, florist, music_store, party_store, pet_store, bike_shop, salon, jewelry_store, hardware_store, gym : 50894
Saved path: gym, toy_store, clothing_store, tech_shop, burger_joint, bookstore, pizzeria, craft_shop, florist, pharmacy, jewelry_store, barber_shop, bakery, pet_store, hardware_store : 45467
Saved path: bookstore, grocery_store, toy_store, gym, bank, florist, music_store, pharmacy, bakery, pet_store, bike_shop, salon, jewelry_store, hardware_store, burger_joint : 46490
Saved path: hardware_store, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, pizzeria, craft_shop, bank, gelateria, pharmacy, salon, bike_shop, pet_store, bakery : 40344
Saved path: clothing_store, toy_store, bakery, bike_shop, salon, party_store, pharmacy, gelateria, music_store, florist, bank, craft_shop, bookstore, burger_joint, tech_shop : 32247
Saved path: grocery_store, clothing_store, toy_store, gym, hardware_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, music_store, bank, bookstore, tech_shop : 49278
Saved path: gelateria, music_store, party_store, jewelry_store, bakery, pet_store, gym, toy_store, noodle_house, tech_shop, burger_joint, dentist, bookstore, pizzeria, bank : 49677
Saved path: toy_store, barber_shop, jewelry_store, bakery, salon, party_store, gelateria, music_store, florist, bank, pizzeria, gym, hardware_store, burger_joint, cafe : 35828
Saved path: clothing_store, grocery_store, cafe, bookstore, pizzeria, craft_shop, florist, music_store, party_store, salon, jewelry_store, hardware_store, gym, toy_store, tech_shop : 34204
Saved path: grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, pharmacy, gelateria, music_store, florist, bookstore, cafe : 44922
Saved path: dentist, cafe, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, jewelry_store, bike_shop, pet_store, gelateria, music_store, florist : 49381
Saved path: grocery_store, cafe, burger_joint, bookstore, craft_shop, florist, music_store, gelateria, pharmacy, bike_shop, pet_store, bakery, jewelry_store, barber_shop, clothing_store : 45073
Saved path: pizzeria, bank, florist, gelateria, pharmacy, party_store, salon, bike_shop, pet_store, bakery, barber_shop, toy_store, clothing_store, tech_shop, gym : 43936
Saved path: toy_store, grocery_store, dentist, cafe, bookstore, pizzeria, bank, florist, music_store, gelateria, pharmacy, party_store, bakery, jewelry_store, gym : 38182
Saved path: bank, craft_shop, pizzeria, gym, hardware_store, burger_joint, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, music_store, gelateria : 47067
Saved path: florist, bank, pizzeria, craft_shop, dentist, grocery_store, clothing_store, tech_shop, toy_store, gym, jewelry_store, bakery, pet_store, bike_shop, music_store : 49783
Saved path: toy_store, clothing_store, grocery_store, burger_joint, bookstore, pizzeria, craft_shop, florist, music_store, gelateria, pharmacy, bike_shop, pet_store, bakery, jewelry_store : 44421
Saved path: grocery_store, cafe, bookstore, pizzeria, gym, craft_shop, bank, music_store, gelateria, pharmacy, bakery, jewelry_store, barber_shop, toy_store, tech_shop : 36417
Saved path: dentist, cafe, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, barber_shop, bakery, party_store, pharmacy, pizzeria, craft_shop : 37219
