Saved path: gym, hardware_store, jewelry_store, bakery, bike_shop, salon, music_store, gelateria, bank, pizzeria, dentist, cafe, grocery_store, tech_shop, toy_store : 42266
Saved path: bookstore, tech_shop, toy_store, hardware_store, salon, bike_shop, pet_store, bakery, barber_shop, pharmacy, music_store, bank, pizzeria, craft_shop, dentist : 51233
Saved path: hardware_store, jewelry_store, barber_shop, bakery, pharmacy, music_store, craft_shop, pizzeria, bookstore, cafe, dentist, grocery_store, toy_store, noodle_house, burger_joint : 40853
Saved path: tech_shop, burger_joint, jewelry_store, salon, bike_shop, bakery, party_store, pharmacy, music_store, florist, bank, pizzeria, dentist, clothing_store, toy_store : 38651
Saved path: barber_shop, jewelry_store, salon, bakery, party_store, pharmacy, music_store, gelateria, pizzeria, gym, hardware_store, burger_joint, noodle_house, clothing_store, toy_store : 36859
Saved path: gelateria, music_store, dentist, grocery_store, cafe, bookstore, burger_joint, tech_shop, toy_store, hardware_store, jewelry_store, bakery, pet_store, salon, pharmacy : 49424
Saved path: party_store, salon, bakery, jewelry_store, hardware_store, gym, toy_store, tech_shop, grocery_store, dentist, bookstore, pizzeria, bank, florist, gelateria : 37576
Saved path: tech_shop, clothing_store, grocery_store, cafe, bookstore, pizzeria, craft_shop, bank, gelateria, pharmacy, bike_shop, pet_store, bakery, jewelry_store, toy_store : 41617
Saved path: bakery, party_store, pharmacy, gelateria, florist, bank, craft_shop, pizzeria, bookstore, burger_joint, noodle_house, clothing_store, toy_store, gym, jewelry_store : 31969
Saved path: bookstore, craft_shop, florist, music_store, gelateria, pharmacy, party_store, pet_store, bakery, barber_shop, jewelry_store, hardware_store, burger_joint, cafe, grocery_store : 44504
Saved path: toy_store, grocery_store, tech_shop, burger_joint, bookstore, pizzeria, craft_shop, bank, florist, gym, bike_shop, pet_store, bakery, jewelry_store, hardware_store : 40829
Saved path: bakery, pet_store, bike_shop, pharmacy, gelateria, florist, craft_shop, pizzeria, bookstore, cafe, dentist, clothing_store, tech_shop, toy_store, gym : 47053
Saved path: toy_store, noodle_house, tech_shop, burger_joint, dentist, craft_shop, bank, gelateria, party_store, bakery, pet_store, barber_shop, jewelry_store, hardware_store, gym : 48592
