Saved path: tech_shop, noodle_house, toy_store, gym, hardware_store, pet_store, bike_shop, salon, pharmacy, music_store, florist, pizzeria, craft_shop, dentist, cafe : 46812
Saved path: dentist, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, jewelry_store, bakery, salon, party_store, pharmacy, gelateria, florist, pizzeria, craft_shop : 34105
Saved path: florist, music_store, gelateria, barber_shop, bakery, pet_store, bike_shop, hardware_store, gym, toy_store, noodle_house, tech_shop, clothing_store, dentist, bookstore : 55949
Saved path: pet_store, bakery, party_store, gelateria, florist, craft_shop, pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store, toy_store, noodle_house, burger_joint : 43128
Saved path: gym, pet_store, bakery, jewelry_store, pharmacy, music_store, florist, bank, craft_shop, pizzeria, bookstore, tech_shop, grocery_store, clothing_store, toy_store : 44060
Saved path: tech_shop, grocery_store, clothing_store, toy_store, hardware_store, jewelry_store, bike_shop, pet_store, party_store, pharmacy, music_store, gelateria, pizzeria, bookstore, burger_joint : 45154
Saved path: barber_shop, pharmacy, music_store, florist, pizzeria, bookstore, cafe, tech_shop, toy_store, gym, hardware_store, salon, bike_shop, pet_store, bakery : 47623
Saved path: florist, music_store, party_store, salon, bakery, jewelry_store, barber_shop, toy_store, grocery_store, cafe, burger_joint, hardware_store, gym, craft_shop, bank : 35491
Saved path: clothing_store, tech_shop, cafe, hardware_store, gym, bank, gelateria, music_store, party_store, salon, bike_shop, pet_store, bakery, barber_shop, toy_store : 48810
Saved path: toy_store, noodle_house, tech_shop, cafe, pizzeria, florist, music_store, pharmacy, party_store, salon, bike_shop, pet_store, bakery, jewelry_store, barber_shop : 42678
Saved path: bank, bookstore, cafe, dentist, grocery_store, clothing_store, tech_shop, toy_store, barber_shop, bakery, pet_store, bike_shop, party_store, hardware_store, gym : 48160
Saved path: bakery, bike_shop, salon, jewelry_store, barber_shop, toy_store, grocery_store, tech_shop, burger_joint, hardware_store, gym, craft_shop, bank, music_store, party_store : 38789
Saved path: dentist, cafe, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, gym, pet_store, bike_shop, salon, party_store, gelateria, florist : 45774
Saved path: bakery, pharmacy, bank, craft_shop, dentist, grocery_store, cafe, bookstore, burger_joint, tech_shop, noodle_house, toy_store, gym, hardware_store, pet_store : 45579
Saved path: toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, dentist, craft_shop, bank, florist, party_store, salon, bike_shop, bakery, barber_shop : 36371
Saved path: bank, gelateria, pharmacy, bike_shop, bakery, barber_shop, toy_store, clothing_store, dentist, cafe, bookstore, burger_joint, hardware_store, gym, craft_shop : 43520
Saved path: craft_shop, pizzeria, gym, burger_joint, cafe, grocery_store, toy_store, jewelry_store, pet_store, bakery, salon, party_store, pharmacy, florist, bank : 41582
Saved path: clothing_store, tech_shop, burger_joint, cafe, dentist, craft_shop, pizzeria, bank, music_store, pet_store, bakery, jewelry_store, hardware_store, gym, toy_store : 49972
Saved path: jewelry_store, bakery, party_store, gelateria, bank, craft_shop, dentist, clothing_store, toy_store, noodle_house, tech_shop, bookstore, burger_joint, gym, hardware_store : 38065
Saved path: grocery_store, noodle_house, burger_joint, gym, hardware_store, jewelry_store, barber_shop, bakery, pharmacy, gelateria, florist, bank, craft_shop, dentist, cafe : 38124
Saved path: jewelry_store, salon, bakery, party_store, florist, pizzeria, dentist, cafe, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, gym, hardware_store : 37185
Saved path: pizzeria, craft_shop, bank, gelateria, music_store, pharmacy, salon, bakery, hardware_store, gym, toy_store, clothing_store, tech_shop, burger_joint, bookstore : 32874
Saved path: craft_shop, pizzeria, burger_joint, cafe, clothing_store, toy_store, hardware_store, pet_store, bakery, jewelry_store, party_store, pharmacy, gelateria, florist, bank : 40701
Saved path: bookstore, burger_joint, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, gelateria, florist, pizzeria, craft_shop, dentist : 41007
Saved path: jewelry_store, barber_shop, party_store, florist, craft_shop, cafe, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, pet_store, bakery, salon : 43954
Saved path: bakery, pet_store, bike_shop, pharmacy, florist, pizzeria, bookstore, cafe, grocery_store, tech_shop, toy_store, gym, hardware_store, jewelry_store, barber_shop : 46425
