Saved path: burger_joint, cafe, bookstore, pizzeria, craft_shop, gym, bakery, pet_store, bike_shop, salon, jewelry_store, party_store, pharmacy, hardware_store, toy_store : 42722
Saved path: toy_store, tech_shop, pizzeria, bank, florist, gelateria, pharmacy, party_store, salon, bike_shop, pet_store, bakery, barber_shop, jewelry_store, hardware_store : 42425
Saved path: toy_store, tech_shop, burger_joint, jewelry_store, salon, bike_shop, pet_store, bakery, pharmacy, music_store, craft_shop, pizzeria, bookstore, dentist, grocery_store : 49866
Saved path: pet_store, gym, burger_joint, tech_shop, toy_store, grocery_store, dentist, bookstore, pizzeria, craft_shop, florist, music_store, party_store, jewelry_store, salon : 51114
Saved path: barber_shop, jewelry_store, bakery, bike_shop, party_store, pharmacy, gelateria, music_store, gym, pizzeria, bookstore, dentist, grocery_store, tech_shop, toy_store : 44812
Saved path: clothing_store, grocery_store, bookstore, pizzeria, craft_shop, gym, hardware_store, party_store, salon, bike_shop, bakery, burger_joint, tech_shop, noodle_house, toy_store : 28580
Saved path: party_store, pharmacy, bank, craft_shop, pizzeria, bookstore, cafe, grocery_store, tech_shop, toy_store, hardware_store, barber_shop, bakery, pet_store, salon : 42949
Saved path: bike_shop, bakery, gym, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, cafe, dentist, pizzeria, bank, pharmacy, party_store, salon : 36644
Saved path: pharmacy, gelateria, pizzeria, gym, burger_joint, bookstore, cafe, dentist, clothing_store, tech_shop, toy_store, barber_shop, jewelry_store, pet_store, bakery : 50675
Saved path: hardware_store, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, cafe, bookstore, craft_shop, bank, pharmacy, party_store, salon, bakery, pet_store : 38367
Saved path: jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, dentist, craft_shop, bank, florist, music_store, pharmacy, salon, bike_shop, pet_store, bakery : 46498
Saved path: party_store, gelateria, craft_shop, pizzeria, bookstore, burger_joint, cafe, clothing_store, toy_store, gym, hardware_store, bakery, pet_store, bike_shop, salon : 42507
Saved path: noodle_house, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, gelateria, florist, bank, craft_shop, pizzeria, bookstore, grocery_store, tech_shop : 35243
Saved path: hardware_store, gym, toy_store, noodle_house, tech_shop, burger_joint, dentist, florist, gelateria, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery : 50516
Saved path: pharmacy, party_store, bike_shop, bakery, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, bookstore, burger_joint, gym, pizzeria, craft_shop, bank : 37376
Saved path: toy_store, gym, pet_store, bakery, pharmacy, music_store, gelateria, bank, pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store, tech_shop : 47221
Saved path: pet_store, bakery, salon, gelateria, florist, bank, gym, burger_joint, bookstore, cafe, dentist, grocery_store, clothing_store, toy_store, barber_shop : 49258
Saved path: bank, craft_shop, dentist, cafe, bookstore, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, bakery, pet_store, bike_shop, music_store : 50148
Saved path: pet_store, salon, jewelry_store, party_store, pharmacy, gelateria, florist, pizzeria, dentist, grocery_store, toy_store, tech_shop, burger_joint, gym, hardware_store : 48155
Saved path: burger_joint, hardware_store, salon, bike_shop, pet_store, bakery, barber_shop, pharmacy, gelateria, music_store, bank, dentist, cafe, grocery_store, toy_store : 51807
Saved path: toy_store, noodle_house, clothing_store, grocery_store, bookstore, cafe, dentist, craft_shop, florist, gelateria, pharmacy, bakery, barber_shop, jewelry_store, hardware_store : 38092
Saved path: hardware_store, jewelry_store, barber_shop, pet_store, bakery, music_store, florist, bank, pizzeria, craft_shop, dentist, burger_joint, tech_shop, toy_store, gym : 51203
