Saved path: party_store, pharmacy, gelateria, craft_shop, gym, hardware_store, burger_joint, bookstore, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, salon : 46008
Saved path: burger_joint, cafe, bookstore, craft_shop, florist, music_store, pharmacy, barber_shop, jewelry_store, salon, bakery, pet_store, hardware_store, toy_store, noodle_house : 44736
Saved path: jewelry_store, barber_shop, gelateria, music_store, florist, bank, craft_shop, pizzeria, cafe, grocery_store, clothing_store, toy_store, hardware_store, pet_store, bakery : 45155
Saved path: cafe, bookstore, noodle_house, toy_store, barber_shop, bakery, pet_store, salon, party_store, pharmacy, gelateria, craft_shop, gym, hardware_store, burger_joint : 45288
Saved path: grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bakery, salon, party_store, gelateria, music_store, florist, bank, craft_shop, burger_joint : 34506
Saved path: florist, music_store, bakery, pet_store, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, dentist, cafe, bookstore, gym, craft_shop, bank : 52038
Saved path: burger_joint, pizzeria, craft_shop, bank, gelateria, pharmacy, salon, bike_shop, pet_store, bakery, hardware_store, toy_store, clothing_store, grocery_store, tech_shop : 40306
Saved path: bakery, party_store, pharmacy, gelateria, florist, gym, craft_shop, dentist, cafe, bookstore, tech_shop, noodle_house, toy_store, barber_shop, pet_store : 48069
Saved path: toy_store, tech_shop, grocery_store, dentist, cafe, bookstore, pizzeria, florist, music_store, pharmacy, party_store, pet_store, salon, jewelry_store, hardware_store : 47594
Saved path: cafe, bookstore, florist, music_store, gelateria, party_store, bike_shop, pet_store, bakery, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist : 46707
Saved path: bookstore, cafe, dentist, grocery_store, tech_shop, noodle_house, toy_store, hardware_store, bike_shop, pet_store, bakery, music_store, florist, craft_shop, pizzeria : 46983
Saved path: noodle_house, tech_shop, burger_joint, cafe, pizzeria, craft_shop, gelateria, pharmacy, party_store, salon, bakery, pet_store, barber_shop, hardware_store, toy_store : 43220
Saved path: gym, pizzeria, florist, gelateria, party_store, bakery, pet_store, bike_shop, jewelry_store, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, burger_joint : 44927
Saved path: dentist, bookstore, pizzeria, craft_shop, bank, music_store, party_store, bike_shop, pet_store, bakery, barber_shop, hardware_store, toy_store, tech_shop, grocery_store : 52539
Saved path: bakery, salon, jewelry_store, party_store, pharmacy, gelateria, craft_shop, bookstore, cafe, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint : 30467
Saved path: salon, bike_shop, jewelry_store, gym, toy_store, noodle_house, burger_joint, bookstore, cafe, dentist, craft_shop, florist, music_store, gelateria, pharmacy : 41126
Saved path: gym, craft_shop, dentist, cafe, bookstore, clothing_store, noodle_house, toy_store, hardware_store, pharmacy, party_store, salon, bike_shop, pet_store, bakery : 46524
Saved path: florist, bank, craft_shop, pizzeria, bookstore, cafe, clothing_store, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, bakery, gelateria : 32975
Saved path: cafe, dentist, craft_shop, bank, gelateria, music_store, salon, bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, clothing_store, bookstore : 41079
Saved path: florist, music_store, party_store, bakery, pet_store, bike_shop, hardware_store, gym, toy_store, noodle_house, dentist, cafe, bookstore, pizzeria, bank : 48177
Saved path: barber_shop, toy_store, noodle_house, clothing_store, grocery_store, dentist, cafe, bookstore, pizzeria, gym, craft_shop, bank, florist, music_store, bakery : 41465
Saved path: pet_store, salon, jewelry_store, party_store, gelateria, florist, dentist, grocery_store, cafe, bookstore, burger_joint, tech_shop, toy_store, gym, hardware_store : 49421
Saved path: music_store, pharmacy, party_store, jewelry_store, salon, pet_store, gym, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, cafe, dentist, florist : 49029
Saved path: gym, jewelry_store, bakery, bike_shop, salon, pharmacy, gelateria, music_store, pizzeria, bookstore, cafe, clothing_store, toy_store, noodle_house, burger_joint : 37683
Saved path: cafe, grocery_store, clothing_store, noodle_house, toy_store, pet_store, bakery, party_store, gelateria, music_store, bank, craft_shop, pizzeria, gym, burger_joint : 42596
Saved path: jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, bookstore, burger_joint, gym, pizzeria, music_store, gelateria, bakery, pet_store : 47966
Saved path: pet_store, bike_shop, party_store, pharmacy, gelateria, bank, bookstore, cafe, dentist, grocery_store, noodle_house, hardware_store, jewelry_store, barber_shop, bakery : 49453
Saved path: pet_store, hardware_store, gym, toy_store, tech_shop, bookstore, cafe, dentist, craft_shop, pizzeria, music_store, pharmacy, barber_shop, jewelry_store, bakery : 51947
Saved path: cafe, noodle_house, toy_store, gym, hardware_store, barber_shop, bakery, bike_shop, pharmacy, gelateria, music_store, florist, bank, craft_shop, dentist : 43101
Saved path: tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, bakery, party_store, gelateria, music_store, florist, bank, bookstore, cafe, dentist, clothing_store : 37619
