Saved path: pizzeria, dentist, cafe, burger_joint, hardware_store, gym, craft_shop, pet_store, music_store, bakery, bike_shop, jewelry_store, barber_shop, noodle_house, clothing_store : 64201
Saved path: dentist, pizzeria, craft_shop, pet_store, gelateria, music_store, pharmacy, bakery, bike_shop, party_store, jewelry_store, salon, toy_store, bookstore, tech_shop : 61823
Saved path: pizzeria, craft_shop, pet_store, gelateria, bank, music_store, party_store, barber_shop, salon, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, cafe : 65740
Saved path: toy_store, barber_shop, bike_shop, party_store, pharmacy, bank, gelateria, craft_shop, gym, hardware_store, burger_joint, bookstore, tech_shop, clothing_store, noodle_house : 60928
Saved path: barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, cafe, burger_joint, bookstore, dentist, pizzeria, craft_shop, pet_store, florist, music_store, hardware_store : 51794
Saved path: noodle_house, barber_shop, bakery, party_store, hardware_store, gym, florist, gelateria, bank, pet_store, dentist, cafe, burger_joint, bookstore, grocery_store : 64687
Saved path: burger_joint, cafe, bookstore, noodle_house, tech_shop, pizzeria, craft_shop, music_store, bank, gelateria, pharmacy, bakery, jewelry_store, bike_shop, gym : 62336
Saved path: bakery, music_store, gelateria, pet_store, gym, hardware_store, burger_joint, bookstore, dentist, tech_shop, grocery_store, noodle_house, salon, barber_shop, jewelry_store : 61759
Saved path: party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, toy_store, hardware_store, bookstore, dentist, craft_shop, pet_store, bank, bakery : 70398
Saved path: burger_joint, bookstore, dentist, pizzeria, craft_shop, florist, pet_store, gym, bakery, party_store, jewelry_store, bike_shop, barber_shop, grocery_store, tech_shop : 62226
Saved path: hardware_store, party_store, jewelry_store, music_store, bank, pet_store, craft_shop, pizzeria, grocery_store, clothing_store, noodle_house, salon, toy_store, burger_joint, gym : 67652
Saved path: florist, music_store, bank, gelateria, party_store, hardware_store, toy_store, salon, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, cafe, dentist : 59775
Saved path: music_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon, clothing_store, tech_shop, cafe, bookstore, burger_joint, hardware_store, pet_store, bank : 66196
Saved path: party_store, bakery, barber_shop, salon, noodle_house, clothing_store, cafe, burger_joint, gym, pizzeria, pet_store, florist, bank, gelateria, pharmacy : 66434
Saved path: dentist, pizzeria, pet_store, florist, music_store, gelateria, pharmacy, barber_shop, noodle_house, clothing_store, toy_store, hardware_store, gym, bookstore, cafe : 55026
Saved path: bike_shop, party_store, bakery, pharmacy, gelateria, florist, craft_shop, gym, burger_joint, cafe, tech_shop, clothing_store, noodle_house, salon, toy_store : 47461
Saved path: gelateria, bank, music_store, pharmacy, bakery, party_store, barber_shop, salon, hardware_store, bookstore, cafe, clothing_store, tech_shop, dentist, pet_store : 65222
