Saved path: clothing_store, grocery_store, cafe, dentist, florist, gym, hardware_store, jewelry_store, salon, bike_shop, pet_store, bakery, burger_joint, noodle_house, toy_store : 44133
Saved path: grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, salon, bike_shop, bakery, gelateria, florist, craft_shop, gym, hardware_store, burger_joint, cafe : 36461
Saved path: music_store, pharmacy, party_store, pet_store, bakery, jewelry_store, hardware_store, burger_joint, noodle_house, clothing_store, dentist, cafe, bookstore, bank, florist : 46922
Saved path: tech_shop, noodle_house, toy_store, hardware_store, pet_store, bakery, salon, jewelry_store, party_store, pharmacy, music_store, craft_shop, gym, cafe, clothing_store : 45356
Saved path: hardware_store, toy_store, clothing_store, grocery_store, bookstore, pizzeria, bank, florist, music_store, pharmacy, party_store, salon, bike_shop, bakery, barber_shop : 36475
Saved path: pizzeria, bookstore, burger_joint, noodle_house, clothing_store, toy_store, gym, bike_shop, bakery, party_store, pharmacy, gelateria, music_store, florist, craft_shop : 35247
Saved path: bank, florist, pharmacy, jewelry_store, bike_shop, bakery, gym, toy_store, tech_shop, clothing_store, dentist, cafe, bookstore, pizzeria, craft_shop : 39757
Saved path: bank, florist, music_store, gelateria, barber_shop, bakery, bike_shop, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, cafe, bookstore, craft_shop : 38686
Saved path: burger_joint, hardware_store, gym, craft_shop, florist, music_store, party_store, salon, bakery, pet_store, barber_shop, toy_store, grocery_store, dentist, cafe : 51812
Saved path: party_store, music_store, florist, craft_shop, pizzeria, bookstore, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, salon : 31768
Saved path: noodle_house, toy_store, grocery_store, cafe, bookstore, pizzeria, craft_shop, music_store, pharmacy, salon, bike_shop, pet_store, gym, burger_joint, tech_shop : 44396
Saved path: barber_shop, toy_store, tech_shop, clothing_store, grocery_store, dentist, gym, bank, florist, gelateria, pharmacy, party_store, bike_shop, pet_store, bakery : 49550
Saved path: music_store, gelateria, pharmacy, bike_shop, jewelry_store, hardware_store, burger_joint, noodle_house, clothing_store, grocery_store, bookstore, cafe, dentist, craft_shop, florist : 40721
Saved path: cafe, clothing_store, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, party_store, gelateria, florist, bank, pizzeria, burger_joint : 42563
Saved path: pet_store, bakery, jewelry_store, barber_shop, toy_store, noodle_house, burger_joint, bookstore, grocery_store, dentist, craft_shop, bank, music_store, gelateria, party_store : 49215
Saved path: bookstore, music_store, gelateria, party_store, bike_shop, pet_store, bakery, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, dentist, cafe, burger_joint : 51666
Saved path: toy_store, clothing_store, grocery_store, bookstore, pizzeria, craft_shop, bank, gelateria, pharmacy, salon, bakery, barber_shop, hardware_store, burger_joint, noodle_house : 33942
Saved path: bike_shop, bakery, barber_shop, gelateria, music_store, florist, bank, pizzeria, dentist, cafe, burger_joint, noodle_house, toy_store, gym, hardware_store : 44412
Saved path: toy_store, barber_shop, jewelry_store, bike_shop, pet_store, bakery, party_store, gelateria, florist, bank, craft_shop, dentist, cafe, bookstore, grocery_store : 47369
Saved path: pharmacy, gelateria, music_store, craft_shop, dentist, grocery_store, cafe, bookstore, burger_joint, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop : 50647
Saved path: toy_store, tech_shop, burger_joint, cafe, bookstore, pizzeria, bank, florist, music_store, party_store, bike_shop, bakery, barber_shop, hardware_store, gym : 39085
