Saved path: clothing_store, grocery_store, cafe, dentist, pizzeria, bank, music_store, pharmacy, barber_shop, bakery, bike_shop, hardware_store, burger_joint, tech_shop, toy_store : 43052
Saved path: grocery_store, cafe, bookstore, burger_joint, toy_store, barber_shop, jewelry_store, pet_store, bakery, party_store, gym, florist, bank, craft_shop, dentist : 48355
Saved path: florist, gelateria, pharmacy, pet_store, bike_shop, jewelry_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, cafe, bookstore, pizzeria : 46822
Saved path: craft_shop, pizzeria, bookstore, dentist, grocery_store, noodle_house, toy_store, hardware_store, barber_shop, bakery, party_store, pharmacy, gelateria, florist, bank : 38162
Saved path: bookstore, pizzeria, bank, florist, music_store, salon, bakery, barber_shop, jewelry_store, hardware_store, toy_store, tech_shop, burger_joint, cafe, dentist : 39693
Saved path: jewelry_store, hardware_store, gym, toy_store, grocery_store, dentist, bookstore, bank, gelateria, music_store, salon, bike_shop, pet_store, bakery, barber_shop : 54719
Saved path: clothing_store, grocery_store, cafe, pizzeria, florist, gelateria, pharmacy, party_store, salon, bike_shop, bakery, jewelry_store, hardware_store, gym, toy_store : 34223
Saved path: salon, bakery, barber_shop, party_store, gelateria, music_store, florist, bank, dentist, cafe, grocery_store, clothing_store, toy_store, gym, hardware_store : 40826
Saved path: florist, bank, pizzeria, dentist, cafe, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, pet_store, bakery, gelateria, music_store : 45624
Saved path: cafe, bookstore, pizzeria, music_store, pharmacy, salon, bike_shop, pet_store, jewelry_store, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store : 44808
Saved path: bank, craft_shop, dentist, cafe, tech_shop, clothing_store, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, salon, music_store, gelateria : 41807
Saved path: jewelry_store, hardware_store, toy_store, clothing_store, grocery_store, dentist, bookstore, bank, music_store, gelateria, party_store, salon, bike_shop, pet_store, bakery : 49081
