Saved path: bakery, party_store, gelateria, bank, craft_shop, pizzeria, bookstore, cafe, dentist, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, gym : 35370
Saved path: cafe, bookstore, pizzeria, bank, florist, music_store, gelateria, bakery, bike_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, burger_joint : 34401
Saved path: party_store, gelateria, craft_shop, dentist, grocery_store, bookstore, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery : 48106
Saved path: pharmacy, gelateria, music_store, craft_shop, burger_joint, cafe, grocery_store, tech_shop, toy_store, barber_shop, jewelry_store, salon, bakery, pet_store, party_store : 45025
Saved path: noodle_house, toy_store, gym, hardware_store, barber_shop, bakery, pet_store, salon, party_store, music_store, bank, craft_shop, bookstore, cafe, grocery_store : 48434
Saved path: pizzeria, craft_shop, gelateria, pharmacy, party_store, bike_shop, bakery, barber_shop, hardware_store, toy_store, noodle_house, tech_shop, grocery_store, dentist, bookstore : 41554
Saved path: salon, bakery, barber_shop, jewelry_store, hardware_store, toy_store, grocery_store, bookstore, cafe, dentist, craft_shop, bank, florist, music_store, party_store : 39608
Saved path: party_store, music_store, florist, bank, craft_shop, pizzeria, grocery_store, clothing_store, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop : 46326
Saved path: cafe, grocery_store, clothing_store, tech_shop, toy_store, barber_shop, jewelry_store, bakery, salon, party_store, pharmacy, florist, gym, craft_shop, dentist : 37190
Saved path: florist, craft_shop, dentist, grocery_store, clothing_store, toy_store, tech_shop, bookstore, burger_joint, hardware_store, jewelry_store, bike_shop, salon, pharmacy, gelateria : 38598
Saved path: cafe, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, party_store, salon, bakery, gym, craft_shop, pizzeria, bookstore, burger_joint : 28982
Saved path: toy_store, clothing_store, grocery_store, tech_shop, hardware_store, gym, pizzeria, craft_shop, florist, music_store, pharmacy, bakery, bike_shop, jewelry_store, barber_shop : 39254
Saved path: gym, burger_joint, bookstore, grocery_store, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, pharmacy, gelateria, music_store, bank, craft_shop : 49149
Saved path: florist, bank, pizzeria, craft_shop, dentist, grocery_store, clothing_store, tech_shop, toy_store, gym, hardware_store, pet_store, bakery, gelateria, music_store : 46703
Saved path: toy_store, hardware_store, barber_shop, bakery, salon, pharmacy, gelateria, music_store, florist, craft_shop, dentist, bookstore, clothing_store, tech_shop, noodle_house : 41404
Saved path: noodle_house, burger_joint, gym, hardware_store, pet_store, jewelry_store, party_store, pharmacy, gelateria, florist, pizzeria, bookstore, dentist, clothing_store, toy_store : 48818
Saved path: tech_shop, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, bakery, pharmacy, gelateria, music_store, florist, craft_shop, pizzeria, gym, hardware_store : 36615
Saved path: gym, florist, pharmacy, salon, pet_store, bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, dentist, cafe, bookstore, burger_joint : 49732
Saved path: cafe, clothing_store, tech_shop, noodle_house, toy_store, jewelry_store, bakery, pet_store, party_store, pharmacy, gelateria, music_store, craft_shop, pizzeria, bookstore : 42539
Saved path: craft_shop, florist, music_store, gelateria, pharmacy, party_store, bakery, bike_shop, jewelry_store, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, dentist : 38312
Saved path: tech_shop, noodle_house, toy_store, barber_shop, bakery, bike_shop, salon, pharmacy, gelateria, gym, pizzeria, dentist, cafe, grocery_store, clothing_store : 41928
Saved path: gelateria, music_store, salon, bike_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, burger_joint, gym, pizzeria : 38576
Saved path: bakery, burger_joint, noodle_house, toy_store, clothing_store, cafe, bookstore, pizzeria, craft_shop, gelateria, pharmacy, party_store, salon, bike_shop, pet_store : 39497
Saved path: party_store, pharmacy, music_store, bank, craft_shop, bookstore, burger_joint, tech_shop, grocery_store, toy_store, hardware_store, pet_store, bakery, salon, jewelry_store : 43561
Saved path: burger_joint, tech_shop, toy_store, gym, pizzeria, craft_shop, bank, florist, music_store, pharmacy, party_store, salon, bike_shop, bakery, jewelry_store : 34430
Saved path: gelateria, pharmacy, bike_shop, pet_store, bakery, jewelry_store, barber_shop, toy_store, noodle_house, bookstore, cafe, grocery_store, dentist, craft_shop, florist : 48107
Saved path: pet_store, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, cafe, burger_joint, bookstore, pizzeria, florist, hardware_store, bakery : 42408
