Saved path: toy_store, noodle_house, tech_shop, grocery_store, dentist, cafe, bookstore, burger_joint, hardware_store, gym, craft_shop, gelateria, bike_shop, bakery, barber_shop : 44380
Saved path: pizzeria, craft_shop, bank, gelateria, party_store, bakery, pet_store, jewelry_store, hardware_store, gym, toy_store, noodle_house, tech_shop, burger_joint, bookstore : 41654
Saved path: burger_joint, cafe, dentist, craft_shop, pizzeria, florist, pharmacy, salon, bike_shop, pet_store, jewelry_store, gym, toy_store, clothing_store, tech_shop : 48405
Saved path: pet_store, bakery, barber_shop, jewelry_store, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, cafe, dentist, craft_shop, music_store : 49704
Saved path: gym, pizzeria, craft_shop, bank, music_store, pharmacy, salon, bike_shop, pet_store, bakery, barber_shop, toy_store, grocery_store, tech_shop, burger_joint : 47392
Saved path: jewelry_store, bakery, party_store, pharmacy, gelateria, florist, bank, craft_shop, dentist, cafe, grocery_store, toy_store, noodle_house, burger_joint, hardware_store : 33676
Saved path: tech_shop, burger_joint, hardware_store, pet_store, bakery, salon, party_store, pharmacy, gelateria, music_store, pizzeria, bookstore, dentist, grocery_store, toy_store : 46767
Saved path: gym, toy_store, noodle_house, clothing_store, grocery_store, cafe, pizzeria, craft_shop, bank, florist, music_store, gelateria, bike_shop, bakery, jewelry_store : 37477
Saved path: music_store, salon, bakery, pet_store, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, burger_joint, cafe, dentist, craft_shop, bank, gelateria : 48757
Saved path: bookstore, pizzeria, bank, florist, pharmacy, salon, bike_shop, bakery, barber_shop, hardware_store, burger_joint, tech_shop, toy_store, grocery_store, cafe : 35664
Saved path: barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, bookstore, burger_joint, gym, pizzeria, gelateria, pharmacy, party_store, salon, bakery : 35088
Saved path: bank, craft_shop, dentist, clothing_store, grocery_store, cafe, burger_joint, noodle_house, toy_store, barber_shop, bakery, salon, party_store, gelateria, music_store : 38402
Saved path: tech_shop, noodle_house, toy_store, grocery_store, dentist, pizzeria, florist, music_store, gelateria, pharmacy, salon, bakery, barber_shop, hardware_store, burger_joint : 40594
Saved path: gelateria, music_store, florist, pizzeria, craft_shop, dentist, cafe, grocery_store, tech_shop, toy_store, hardware_store, pet_store, bike_shop, salon, party_store : 46170
Saved path: bakery, pet_store, hardware_store, gym, toy_store, burger_joint, cafe, pizzeria, florist, music_store, gelateria, pharmacy, party_store, jewelry_store, salon : 44373
Saved path: gelateria, dentist, grocery_store, cafe, bookstore, burger_joint, tech_shop, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, pharmacy : 48664
Saved path: pharmacy, gelateria, pizzeria, craft_shop, dentist, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, gym, hardware_store, jewelry_store, pet_store, party_store : 47825
Saved path: tech_shop, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, party_store, pharmacy, florist, bank, pizzeria, bookstore, dentist : 41790
Saved path: hardware_store, jewelry_store, bakery, party_store, pharmacy, gelateria, music_store, bank, pizzeria, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store : 32066
Saved path: bakery, pet_store, bike_shop, salon, hardware_store, toy_store, grocery_store, tech_shop, burger_joint, bookstore, pizzeria, craft_shop, bank, music_store, barber_shop : 47952
Saved path: bakery, pizzeria, bank, florist, craft_shop, dentist, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store : 44192
Saved path: jewelry_store, barber_shop, bakery, bike_shop, music_store, bank, pizzeria, craft_shop, dentist, grocery_store, toy_store, noodle_house, burger_joint, gym, hardware_store : 44968
Saved path: jewelry_store, salon, bakery, gelateria, florist, craft_shop, pizzeria, bookstore, burger_joint, cafe, dentist, grocery_store, clothing_store, toy_store, gym : 37812
Saved path: hardware_store, burger_joint, noodle_house, toy_store, grocery_store, cafe, dentist, pizzeria, bank, music_store, pharmacy, jewelry_store, barber_shop, bakery, pet_store : 50257
Saved path: bakery, barber_shop, toy_store, noodle_house, bookstore, cafe, grocery_store, dentist, craft_shop, gym, hardware_store, pharmacy, salon, bike_shop, pet_store : 50639
Saved path: toy_store, barber_shop, jewelry_store, bakery, salon, music_store, florist, craft_shop, pizzeria, gym, hardware_store, burger_joint, bookstore, cafe, clothing_store : 37918
