Saved path: salon, barber_shop, jewelry_store, party_store, hardware_store, gym, florist, bank, pet_store, craft_shop, pizzeria, dentist, cafe, bookstore, burger_joint : 71275
Saved path: jewelry_store, bike_shop, barber_shop, clothing_store, grocery_store, tech_shop, cafe, bookstore, burger_joint, hardware_store, gym, craft_shop, pet_store, pharmacy, party_store : 56167
Saved path: bookstore, cafe, tech_shop, toy_store, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, music_store, bank, gelateria, florist, craft_shop, gym : 61451
Saved path: bookstore, burger_joint, gym, bike_shop, jewelry_store, gelateria, music_store, craft_shop, pizzeria, dentist, cafe, tech_shop, grocery_store, clothing_store, noodle_house : 57112
Saved path: toy_store, noodle_house, clothing_store, grocery_store, tech_shop, cafe, bookstore, hardware_store, party_store, jewelry_store, bike_shop, gelateria, bank, barber_shop, salon : 64211
Saved path: pet_store, dentist, tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, hardware_store, party_store, jewelry_store, bike_shop, gelateria, bank, florist : 67380
Saved path: cafe, bookstore, burger_joint, toy_store, noodle_house, salon, hardware_store, jewelry_store, party_store, bakery, pharmacy, gelateria, pet_store, pizzeria, grocery_store : 58529
Saved path: pizzeria, dentist, burger_joint, gym, craft_shop, pet_store, bank, music_store, jewelry_store, party_store, bakery, barber_shop, toy_store, noodle_house, grocery_store : 70789
Saved path: toy_store, noodle_house, clothing_store, grocery_store, dentist, bookstore, hardware_store, gym, florist, gelateria, music_store, bike_shop, party_store, bakery, barber_shop : 57471
Saved path: dentist, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, party_store, pharmacy, music_store, bank, pet_store, craft_shop, pizzeria : 65670
Saved path: burger_joint, bookstore, cafe, tech_shop, grocery_store, dentist, pizzeria, craft_shop, gelateria, bank, pharmacy, jewelry_store, party_store, bakery, toy_store : 61187
Saved path: salon, toy_store, gym, hardware_store, bakery, bike_shop, gelateria, bank, pet_store, craft_shop, dentist, cafe, tech_shop, grocery_store, noodle_house : 57423
Saved path: bank, pet_store, dentist, cafe, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, bakery, pharmacy : 64732
