Saved path: clothing_store, noodle_house, salon, bike_shop, bakery, pharmacy, gelateria, florist, pet_store, gym, burger_joint, cafe, pizzeria, tech_shop, grocery_store : 51539
Saved path: pharmacy, gelateria, music_store, craft_shop, gym, hardware_store, burger_joint, pizzeria, tech_shop, grocery_store, noodle_house, barber_shop, bike_shop, party_store, bakery : 57927
Saved path: bike_shop, barber_shop, salon, noodle_house, toy_store, hardware_store, burger_joint, bookstore, dentist, pet_store, florist, bank, music_store, bakery, jewelry_store : 70708
Saved path: craft_shop, dentist, grocery_store, clothing_store, noodle_house, bookstore, burger_joint, gym, hardware_store, jewelry_store, bike_shop, bakery, pharmacy, bank, florist : 60522
Saved path: music_store, florist, pizzeria, dentist, cafe, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, salon, barber_shop, jewelry_store, party_store, pharmacy : 57196
Saved path: pizzeria, craft_shop, florist, gym, bakery, party_store, jewelry_store, barber_shop, salon, toy_store, burger_joint, bookstore, cafe, grocery_store, dentist : 56527
Saved path: florist, pet_store, gym, hardware_store, burger_joint, dentist, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, party_store, pharmacy, gelateria : 60544
Saved path: gym, hardware_store, bookstore, dentist, pizzeria, tech_shop, clothing_store, salon, barber_shop, bakery, party_store, pharmacy, music_store, florist, craft_shop : 57573
Saved path: bakery, party_store, bike_shop, gelateria, bank, music_store, florist, pet_store, craft_shop, hardware_store, cafe, grocery_store, toy_store, salon, barber_shop : 63157
Saved path: bike_shop, jewelry_store, party_store, hardware_store, salon, noodle_house, clothing_store, tech_shop, bookstore, dentist, craft_shop, pet_store, gelateria, bank, music_store : 67140
Saved path: pharmacy, barber_shop, salon, clothing_store, grocery_store, tech_shop, pizzeria, dentist, bookstore, burger_joint, gym, craft_shop, florist, bank, music_store : 56711
Saved path: pharmacy, gelateria, florist, gym, hardware_store, burger_joint, dentist, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop : 50971
Saved path: salon, noodle_house, grocery_store, cafe, pizzeria, bank, music_store, bike_shop, jewelry_store, party_store, bakery, hardware_store, gym, burger_joint, toy_store : 68723
Saved path: pharmacy, music_store, bank, gelateria, pet_store, craft_shop, pizzeria, cafe, bookstore, burger_joint, clothing_store, salon, hardware_store, bike_shop, jewelry_store : 67200
Saved path: gym, burger_joint, bookstore, cafe, dentist, pizzeria, tech_shop, grocery_store, barber_shop, party_store, pharmacy, music_store, gelateria, florist, pet_store : 60705
Saved path: salon, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, dentist, florist, music_store, bank, gelateria, bike_shop, party_store, bakery, barber_shop : 60807
Saved path: bookstore, burger_joint, hardware_store, jewelry_store, barber_shop, pharmacy, bank, gelateria, florist, craft_shop, pizzeria, dentist, grocery_store, clothing_store, noodle_house : 66798
Saved path: salon, toy_store, hardware_store, bakery, party_store, jewelry_store, bike_shop, gelateria, pizzeria, dentist, bookstore, cafe, tech_shop, grocery_store, noodle_house : 58860
Saved path: music_store, gelateria, jewelry_store, bakery, barber_shop, noodle_house, tech_shop, pizzeria, dentist, bookstore, burger_joint, gym, craft_shop, pet_store, florist : 64127
Saved path: jewelry_store, bike_shop, music_store, bank, barber_shop, salon, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, cafe, burger_joint, hardware_store, party_store : 69718
Saved path: gelateria, music_store, florist, gym, bike_shop, jewelry_store, salon, toy_store, clothing_store, grocery_store, cafe, tech_shop, pizzeria, craft_shop, pet_store : 61768
Saved path: burger_joint, dentist, pizzeria, clothing_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, bank, gelateria, gym, hardware_store : 71191
Saved path: barber_shop, jewelry_store, party_store, bakery, hardware_store, craft_shop, pizzeria, dentist, cafe, burger_joint, tech_shop, grocery_store, noodle_house, toy_store, salon : 47303
Saved path: barber_shop, salon, noodle_house, clothing_store, toy_store, gym, burger_joint, cafe, pizzeria, craft_shop, florist, pharmacy, bakery, jewelry_store, bike_shop : 56910
Saved path: bank, music_store, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, salon, hardware_store, toy_store, clothing_store, tech_shop, bookstore, dentist, florist : 68470
Saved path: salon, barber_shop, bike_shop, bakery, pharmacy, gelateria, florist, pet_store, pizzeria, dentist, tech_shop, cafe, bookstore, burger_joint, noodle_house : 52878
Saved path: bike_shop, jewelry_store, pharmacy, gelateria, florist, pet_store, craft_shop, pizzeria, dentist, cafe, tech_shop, grocery_store, noodle_house, toy_store, barber_shop : 59136
Saved path: pizzeria, dentist, cafe, burger_joint, grocery_store, clothing_store, salon, barber_shop, bakery, party_store, jewelry_store, bike_shop, music_store, gelateria, craft_shop : 59115
Saved path: tech_shop, dentist, craft_shop, pet_store, florist, music_store, gelateria, pharmacy, bakery, party_store, barber_shop, salon, hardware_store, toy_store, grocery_store : 57748
Saved path: bakery, pharmacy, hardware_store, gym, craft_shop, pizzeria, dentist, tech_shop, cafe, burger_joint, noodle_house, salon, barber_shop, bike_shop, party_store : 50502
Saved path: music_store, florist, craft_shop, pizzeria, dentist, burger_joint, bookstore, grocery_store, noodle_house, salon, barber_shop, bike_shop, bakery, pharmacy, bank : 57697
Saved path: music_store, gelateria, pet_store, craft_shop, gym, burger_joint, cafe, grocery_store, clothing_store, noodle_house, salon, barber_shop, bakery, party_store, jewelry_store : 54060
Saved path: burger_joint, bookstore, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, party_store, pharmacy, music_store, florist, craft_shop, gym, hardware_store : 53381
Saved path: jewelry_store, party_store, bakery, gelateria, pet_store, gym, pizzeria, dentist, cafe, tech_shop, clothing_store, noodle_house, toy_store, barber_shop, bike_shop : 62940
Saved path: noodle_house, salon, barber_shop, party_store, bakery, music_store, florist, pet_store, pizzeria, tech_shop, cafe, burger_joint, gym, hardware_store, toy_store : 60100
Saved path: party_store, bike_shop, barber_shop, hardware_store, bookstore, grocery_store, tech_shop, dentist, pizzeria, florist, music_store, bank, gelateria, pharmacy, bakery : 64924
Saved path: craft_shop, music_store, bank, pharmacy, party_store, bike_shop, gym, toy_store, salon, noodle_house, grocery_store, bookstore, cafe, dentist, pizzeria : 65186
Saved path: bank, gelateria, craft_shop, pizzeria, dentist, cafe, grocery_store, clothing_store, noodle_house, bookstore, gym, bike_shop, jewelry_store, party_store, bakery : 64527
Saved path: barber_shop, salon, toy_store, noodle_house, grocery_store, bookstore, pizzeria, florist, gelateria, bank, pet_store, gym, bakery, party_store, jewelry_store : 71863
Saved path: cafe, tech_shop, noodle_house, salon, toy_store, gym, craft_shop, pet_store, gelateria, bank, music_store, bakery, hardware_store, burger_joint, bookstore : 53247
Saved path: craft_shop, pizzeria, dentist, bookstore, grocery_store, salon, hardware_store, gym, bike_shop, jewelry_store, pharmacy, music_store, gelateria, florist, pet_store : 64817
