Saved path: burger_joint, bookstore, dentist, pizzeria, grocery_store, clothing_store, toy_store, salon, hardware_store, jewelry_store, bakery, pharmacy, gelateria, florist, gym : 57837
Saved path: hardware_store, burger_joint, noodle_house, clothing_store, grocery_store, cafe, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, barber_shop, bike_shop, bakery : 60713
Saved path: bakery, pharmacy, gelateria, bank, pet_store, pizzeria, dentist, grocery_store, cafe, bookstore, gym, hardware_store, barber_shop, jewelry_store, party_store : 70161
Saved path: craft_shop, gelateria, pharmacy, bakery, jewelry_store, bike_shop, hardware_store, toy_store, salon, noodle_house, clothing_store, tech_shop, cafe, burger_joint, bookstore : 51225
Saved path: toy_store, barber_shop, pharmacy, gelateria, bank, florist, pet_store, craft_shop, dentist, clothing_store, grocery_store, cafe, bookstore, burger_joint, hardware_store : 57136
Saved path: craft_shop, dentist, bookstore, burger_joint, tech_shop, clothing_store, noodle_house, toy_store, hardware_store, party_store, jewelry_store, bike_shop, bakery, bank, gelateria : 62316
Saved path: gym, pet_store, florist, gelateria, pharmacy, bakery, jewelry_store, barber_shop, salon, clothing_store, pizzeria, dentist, cafe, burger_joint, hardware_store : 62204
Saved path: cafe, bookstore, pet_store, gelateria, bank, music_store, florist, hardware_store, bakery, bike_shop, jewelry_store, barber_shop, noodle_house, clothing_store, grocery_store : 64811
Saved path: bakery, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, clothing_store, burger_joint, bookstore, tech_shop, pizzeria, pet_store, florist, music_store, bank : 70805
Saved path: bank, music_store, bike_shop, jewelry_store, party_store, hardware_store, gym, toy_store, noodle_house, clothing_store, tech_shop, dentist, pizzeria, pet_store, gelateria : 66939
