Saved path: bike_shop, bakery, gelateria, bank, pet_store, craft_shop, dentist, bookstore, tech_shop, grocery_store, clothing_store, toy_store, salon, barber_shop, jewelry_store : 65735
Saved path: bank, gelateria, gym, hardware_store, cafe, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, bakery, pharmacy : 54031
Saved path: tech_shop, clothing_store, toy_store, salon, barber_shop, jewelry_store, party_store, pharmacy, music_store, gelateria, gym, hardware_store, burger_joint, cafe, pizzeria : 61891
Saved path: pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, bookstore, cafe, burger_joint, hardware_store, bike_shop, party_store, pharmacy, bank, florist, pet_store : 61636
Saved path: noodle_house, clothing_store, grocery_store, cafe, hardware_store, gym, pet_store, florist, gelateria, pharmacy, bakery, jewelry_store, barber_shop, salon, toy_store : 54317
Saved path: clothing_store, noodle_house, barber_shop, jewelry_store, bakery, pharmacy, bank, pet_store, pizzeria, dentist, cafe, burger_joint, hardware_store, toy_store, grocery_store : 68150
Saved path: gelateria, florist, pet_store, craft_shop, dentist, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, salon, bike_shop, party_store, bakery, pharmacy : 53868
Saved path: grocery_store, clothing_store, noodle_house, salon, hardware_store, gym, party_store, bike_shop, music_store, bank, gelateria, pet_store, craft_shop, dentist, bookstore : 64930
Saved path: gym, craft_shop, music_store, bank, bakery, bike_shop, barber_shop, salon, toy_store, clothing_store, grocery_store, pizzeria, dentist, cafe, burger_joint : 60900
Saved path: pizzeria, craft_shop, music_store, gelateria, pharmacy, party_store, jewelry_store, hardware_store, salon, noodle_house, toy_store, burger_joint, bookstore, cafe, tech_shop : 57451
Saved path: bookstore, burger_joint, gym, pet_store, florist, gelateria, pharmacy, party_store, bakery, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop : 52518
Saved path: music_store, pharmacy, party_store, jewelry_store, hardware_store, salon, toy_store, bookstore, cafe, tech_shop, dentist, pizzeria, pet_store, gelateria, bank : 68617
Saved path: noodle_house, tech_shop, dentist, cafe, bookstore, burger_joint, gym, pet_store, florist, music_store, gelateria, pharmacy, party_store, bike_shop, barber_shop : 59717
