Saved path: grocery_store, tech_shop, cafe, gym, craft_shop, pet_store, florist, gelateria, bank, bakery, bike_shop, party_store, jewelry_store, salon, noodle_house : 63962
Saved path: bike_shop, jewelry_store, bakery, barber_shop, salon, toy_store, grocery_store, tech_shop, dentist, pizzeria, craft_shop, gym, pet_store, florist, music_store : 63346
Saved path: bakery, bike_shop, hardware_store, toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, dentist, pet_store, bank, gelateria, pharmacy : 56959
Saved path: cafe, bookstore, gym, craft_shop, pet_store, florist, music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store, noodle_house : 57442
Saved path: cafe, bookstore, clothing_store, toy_store, barber_shop, bike_shop, bakery, pharmacy, music_store, bank, gelateria, pet_store, gym, craft_shop, pizzeria : 61490
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store, bakery, music_store, pet_store, craft_shop, gym, burger_joint, bookstore, pizzeria : 62251
Saved path: florist, gelateria, bank, music_store, pharmacy, bike_shop, jewelry_store, party_store, hardware_store, toy_store, salon, noodle_house, clothing_store, bookstore, dentist : 64798
Saved path: hardware_store, pharmacy, bank, pet_store, craft_shop, dentist, cafe, burger_joint, bookstore, clothing_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store : 69271
Saved path: pet_store, craft_shop, gym, burger_joint, bookstore, tech_shop, salon, barber_shop, bakery, bike_shop, jewelry_store, gelateria, bank, music_store, florist : 66257
Saved path: bookstore, grocery_store, clothing_store, noodle_house, toy_store, salon, jewelry_store, bike_shop, bakery, pharmacy, gelateria, music_store, florist, craft_shop, dentist : 54768
Saved path: jewelry_store, party_store, hardware_store, pharmacy, music_store, bank, gelateria, pet_store, craft_shop, pizzeria, dentist, tech_shop, noodle_house, salon, barber_shop : 70213
Saved path: hardware_store, burger_joint, grocery_store, dentist, pizzeria, craft_shop, pet_store, florist, gelateria, bank, music_store, party_store, barber_shop, salon, toy_store : 67991
Saved path: bakery, bike_shop, jewelry_store, party_store, hardware_store, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, gym, florist, gelateria, bank, music_store : 59065
Saved path: party_store, jewelry_store, bike_shop, gelateria, music_store, florist, pet_store, craft_shop, dentist, grocery_store, cafe, bookstore, burger_joint, gym, bakery : 56128
