Saved path: tech_shop, cafe, dentist, pizzeria, gelateria, bank, music_store, pharmacy, jewelry_store, party_store, bakery, gym, toy_store, salon, clothing_store : 66691
Saved path: barber_shop, salon, hardware_store, toy_store, clothing_store, tech_shop, dentist, craft_shop, florist, bank, music_store, pharmacy, bakery, party_store, jewelry_store : 65389
Saved path: bakery, gym, toy_store, salon, noodle_house, clothing_store, grocery_store, bookstore, cafe, tech_shop, pizzeria, craft_shop, pet_store, florist, gelateria : 49666
Saved path: gym, craft_shop, pet_store, florist, gelateria, bank, pharmacy, party_store, jewelry_store, bike_shop, bakery, toy_store, noodle_house, grocery_store, cafe : 60198
Saved path: dentist, tech_shop, grocery_store, noodle_house, salon, barber_shop, bakery, bike_shop, jewelry_store, party_store, hardware_store, bookstore, florist, pet_store, craft_shop : 60045
Saved path: dentist, pizzeria, pet_store, florist, music_store, gelateria, bike_shop, party_store, bakery, hardware_store, gym, burger_joint, toy_store, noodle_house, clothing_store : 56933
Saved path: music_store, party_store, jewelry_store, bike_shop, barber_shop, toy_store, clothing_store, tech_shop, pizzeria, cafe, bookstore, burger_joint, hardware_store, gym, florist : 62199
Saved path: toy_store, salon, noodle_house, clothing_store, grocery_store, cafe, dentist, craft_shop, pet_store, florist, music_store, bakery, hardware_store, gym, burger_joint : 47905
Saved path: craft_shop, pizzeria, dentist, tech_shop, grocery_store, bookstore, burger_joint, toy_store, salon, hardware_store, bike_shop, jewelry_store, pharmacy, music_store, florist : 58023
Saved path: gym, florist, gelateria, music_store, jewelry_store, bike_shop, bakery, barber_shop, salon, clothing_store, tech_shop, dentist, bookstore, burger_joint, hardware_store : 61036
Saved path: toy_store, barber_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, bank, florist, pet_store, pizzeria, dentist, cafe, bookstore, burger_joint : 67571
Saved path: grocery_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, music_store, bank, gelateria, pet_store, pizzeria, dentist : 64939
Saved path: cafe, clothing_store, noodle_house, burger_joint, gym, hardware_store, party_store, bike_shop, bakery, pharmacy, gelateria, bank, pet_store, pizzeria, dentist : 60974
