Saved path: toy_store, clothing_store, pizzeria, dentist, cafe, burger_joint, hardware_store, gym, music_store, bank, gelateria, pharmacy, bakery, jewelry_store, barber_shop : 67710
Saved path: clothing_store, noodle_house, toy_store, hardware_store, party_store, jewelry_store, bike_shop, bakery, pharmacy, florist, pet_store, gym, burger_joint, cafe, dentist : 54302
Saved path: jewelry_store, bakery, barber_shop, salon, clothing_store, toy_store, hardware_store, burger_joint, bookstore, dentist, pizzeria, craft_shop, florist, gelateria, music_store : 61133
Saved path: gelateria, bank, music_store, florist, gym, bookstore, cafe, dentist, pizzeria, tech_shop, clothing_store, noodle_house, salon, barber_shop, bike_shop : 60857
Saved path: party_store, music_store, bank, gelateria, florist, pet_store, pizzeria, dentist, tech_shop, grocery_store, clothing_store, cafe, burger_joint, gym, hardware_store : 61539
Saved path: craft_shop, gym, hardware_store, bookstore, cafe, tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, bank : 66391
Saved path: clothing_store, salon, jewelry_store, party_store, bike_shop, bakery, pharmacy, music_store, gelateria, craft_shop, gym, burger_joint, bookstore, dentist, tech_shop : 59571
Saved path: grocery_store, clothing_store, salon, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, music_store, bank, gelateria, craft_shop, pizzeria, cafe, bookstore : 64298
Saved path: party_store, bike_shop, bakery, gelateria, pet_store, gym, burger_joint, dentist, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, salon, jewelry_store : 60465
Saved path: grocery_store, clothing_store, salon, hardware_store, gym, bike_shop, music_store, bank, gelateria, pet_store, craft_shop, pizzeria, dentist, burger_joint, cafe : 61504
Saved path: hardware_store, gym, toy_store, clothing_store, tech_shop, cafe, bookstore, dentist, pizzeria, florist, bank, gelateria, bike_shop, jewelry_store, party_store : 65692
