Saved path: barber_shop, salon, hardware_store, gym, bookstore, cafe, dentist, pizzeria, craft_shop, pet_store, bank, pharmacy, party_store, jewelry_store, bike_shop : 71622
Saved path: salon, noodle_house, clothing_store, toy_store, burger_joint, bookstore, tech_shop, pizzeria, craft_shop, music_store, gelateria, pharmacy, party_store, jewelry_store, barber_shop : 59556
Saved path: bank, music_store, craft_shop, pizzeria, dentist, cafe, burger_joint, bookstore, grocery_store, noodle_house, barber_shop, bike_shop, party_store, bakery, pharmacy : 62512
Saved path: gym, burger_joint, dentist, tech_shop, clothing_store, toy_store, salon, hardware_store, bike_shop, jewelry_store, pharmacy, music_store, bank, gelateria, pet_store : 68166
Saved path: bike_shop, party_store, pharmacy, bank, craft_shop, pizzeria, dentist, burger_joint, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop : 64743
Saved path: noodle_house, clothing_store, tech_shop, pizzeria, dentist, cafe, bookstore, gym, pet_store, florist, bank, pharmacy, bakery, barber_shop, toy_store : 62027
Saved path: jewelry_store, party_store, bakery, pharmacy, music_store, bank, pet_store, craft_shop, hardware_store, burger_joint, tech_shop, clothing_store, noodle_house, salon, barber_shop : 63301
Saved path: gym, bike_shop, bakery, hardware_store, salon, noodle_house, burger_joint, dentist, pizzeria, craft_shop, florist, music_store, bank, gelateria, pet_store : 61892
Saved path: party_store, pharmacy, gelateria, music_store, florist, craft_shop, gym, hardware_store, burger_joint, dentist, tech_shop, clothing_store, salon, barber_shop, bike_shop : 57215
Saved path: toy_store, salon, jewelry_store, party_store, bike_shop, bakery, pharmacy, gelateria, pet_store, craft_shop, pizzeria, bookstore, grocery_store, clothing_store, noodle_house : 58190
Saved path: pet_store, florist, gelateria, bank, music_store, pharmacy, bakery, party_store, jewelry_store, hardware_store, tech_shop, cafe, bookstore, gym, craft_shop : 59337
