Saved path: pizzeria, cafe, burger_joint, grocery_store, clothing_store, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, bank, florist, pet_store : 67591
Saved path: bank, gelateria, pharmacy, jewelry_store, bike_shop, barber_shop, grocery_store, dentist, cafe, bookstore, burger_joint, hardware_store, gym, pet_store, florist : 70186
Saved path: noodle_house, clothing_store, tech_shop, cafe, bookstore, burger_joint, hardware_store, pet_store, florist, gelateria, pharmacy, bakery, jewelry_store, barber_shop, toy_store : 55846
Saved path: barber_shop, party_store, bike_shop, gelateria, bank, music_store, florist, gym, burger_joint, cafe, dentist, tech_shop, clothing_store, noodle_house, toy_store : 63177
Saved path: florist, pet_store, pizzeria, dentist, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, salon, barber_shop, bike_shop, pharmacy, music_store, bank : 62525
Saved path: dentist, pizzeria, tech_shop, grocery_store, clothing_store, toy_store, gym, florist, bank, gelateria, jewelry_store, bakery, burger_joint, bookstore, cafe : 62017
Saved path: grocery_store, clothing_store, noodle_house, jewelry_store, party_store, bakery, pharmacy, music_store, florist, pet_store, craft_shop, gym, burger_joint, cafe, tech_shop : 50317
Saved path: florist, craft_shop, dentist, tech_shop, cafe, bookstore, burger_joint, hardware_store, salon, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, bank : 65170
Saved path: tech_shop, grocery_store, clothing_store, cafe, burger_joint, hardware_store, toy_store, noodle_house, barber_shop, jewelry_store, bakery, pharmacy, gelateria, pet_store, pizzeria : 58823
Saved path: gym, toy_store, salon, noodle_house, burger_joint, cafe, tech_shop, pizzeria, craft_shop, pet_store, bank, gelateria, pharmacy, bakery, hardware_store : 56175
Saved path: craft_shop, pet_store, florist, music_store, gelateria, pharmacy, bakery, barber_shop, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, cafe, pizzeria : 48887
