Saved path: music_store, florist, gym, hardware_store, burger_joint, cafe, dentist, pizzeria, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, bakery, bank : 67711
Saved path: florist, music_store, gelateria, jewelry_store, bike_shop, barber_shop, salon, hardware_store, burger_joint, cafe, noodle_house, clothing_store, tech_shop, pizzeria, pet_store : 65362
Saved path: party_store, jewelry_store, barber_shop, noodle_house, clothing_store, tech_shop, dentist, cafe, burger_joint, gym, craft_shop, pet_store, gelateria, music_store, pharmacy : 59616
Saved path: pet_store, craft_shop, pizzeria, tech_shop, burger_joint, gym, toy_store, noodle_house, barber_shop, party_store, bakery, pharmacy, music_store, bank, gelateria : 65148
Saved path: dentist, burger_joint, gym, craft_shop, florist, music_store, gelateria, pharmacy, bike_shop, jewelry_store, party_store, hardware_store, salon, noodle_house, tech_shop : 59290
Saved path: bookstore, cafe, grocery_store, tech_shop, pizzeria, florist, pet_store, gym, hardware_store, party_store, bike_shop, barber_shop, salon, noodle_house, burger_joint : 58268
Saved path: toy_store, hardware_store, bike_shop, jewelry_store, bakery, pharmacy, gelateria, bank, pet_store, pizzeria, dentist, cafe, tech_shop, grocery_store, clothing_store : 60903
Saved path: hardware_store, burger_joint, cafe, clothing_store, toy_store, salon, barber_shop, party_store, pharmacy, gelateria, bank, music_store, florist, pet_store, craft_shop : 61237
Saved path: dentist, pizzeria, craft_shop, gym, pet_store, florist, bank, music_store, pharmacy, barber_shop, salon, clothing_store, grocery_store, bookstore, cafe : 59864
Saved path: music_store, pharmacy, bike_shop, barber_shop, noodle_house, clothing_store, toy_store, hardware_store, burger_joint, bookstore, cafe, dentist, pet_store, florist, gelateria : 54530
Saved path: gelateria, music_store, bike_shop, party_store, bakery, barber_shop, salon, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, dentist, pizzeria, craft_shop : 56161
Saved path: burger_joint, bookstore, cafe, grocery_store, clothing_store, toy_store, gym, craft_shop, pet_store, florist, gelateria, bank, pharmacy, bakery, jewelry_store : 57254
Saved path: cafe, pizzeria, craft_shop, music_store, bank, gelateria, pharmacy, party_store, jewelry_store, bike_shop, hardware_store, salon, noodle_house, burger_joint, bookstore : 65218
Saved path: music_store, pharmacy, party_store, jewelry_store, bike_shop, hardware_store, gym, toy_store, bookstore, cafe, tech_shop, dentist, craft_shop, pet_store, bank : 64520
