Saved path: noodle_house, toy_store, barber_shop, bike_shop, party_store, bakery, pharmacy, gelateria, pet_store, craft_shop, dentist, cafe, tech_shop, grocery_store, clothing_store : 51735
Saved path: bakery, hardware_store, toy_store, noodle_house, clothing_store, tech_shop, cafe, dentist, pizzeria, pet_store, bank, gelateria, barber_shop, jewelry_store, party_store : 69480
Saved path: cafe, tech_shop, pizzeria, craft_shop, pet_store, florist, pharmacy, bakery, jewelry_store, bike_shop, hardware_store, salon, noodle_house, burger_joint, bookstore : 56572
Saved path: dentist, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, bank, florist, gym, hardware_store : 67920
Saved path: pizzeria, dentist, cafe, bookstore, burger_joint, hardware_store, toy_store, noodle_house, salon, barber_shop, jewelry_store, bakery, bank, florist, pet_store : 71264
Saved path: craft_shop, gym, burger_joint, cafe, tech_shop, noodle_house, salon, toy_store, hardware_store, jewelry_store, gelateria, bank, music_store, florist, pet_store : 63721
Saved path: dentist, grocery_store, noodle_house, toy_store, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, gelateria, bank, pet_store, gym, craft_shop, pizzeria : 69962
Saved path: salon, noodle_house, bookstore, cafe, dentist, pizzeria, craft_shop, pet_store, florist, bank, gelateria, pharmacy, bakery, jewelry_store, barber_shop : 66487
Saved path: salon, jewelry_store, party_store, bike_shop, bakery, pharmacy, music_store, florist, pet_store, bookstore, cafe, grocery_store, clothing_store, noodle_house, toy_store : 53788
Saved path: pharmacy, music_store, bank, gelateria, craft_shop, pizzeria, tech_shop, grocery_store, noodle_house, gym, hardware_store, party_store, jewelry_store, bike_shop, bakery : 61865
Saved path: pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, gym, burger_joint, noodle_house, bookstore, cafe, dentist, pizzeria, pet_store, florist : 57671
Saved path: florist, gym, hardware_store, bike_shop, jewelry_store, barber_shop, salon, burger_joint, bookstore, tech_shop, dentist, pizzeria, craft_shop, pet_store, bank : 73729
Saved path: noodle_house, grocery_store, tech_shop, dentist, pet_store, florist, music_store, bank, gelateria, pharmacy, jewelry_store, bakery, gym, burger_joint, bookstore : 63595
