Saved path: florist, pet_store, pizzeria, tech_shop, grocery_store, noodle_house, cafe, bookstore, hardware_store, jewelry_store, party_store, bakery, pharmacy, bank, music_store : 64368
Saved path: pet_store, gym, burger_joint, bookstore, cafe, dentist, tech_shop, clothing_store, noodle_house, toy_store, hardware_store, party_store, jewelry_store, gelateria, florist : 57007
Saved path: noodle_house, clothing_store, bookstore, dentist, pizzeria, craft_shop, florist, bank, gelateria, bike_shop, jewelry_store, party_store, hardware_store, toy_store, salon : 67295
Saved path: salon, barber_shop, jewelry_store, bakery, pharmacy, gelateria, bank, music_store, gym, burger_joint, bookstore, dentist, tech_shop, noodle_house, toy_store : 66768
Saved path: bank, music_store, florist, pet_store, craft_shop, pizzeria, dentist, grocery_store, clothing_store, noodle_house, toy_store, burger_joint, gym, party_store, gelateria : 61657
Saved path: dentist, cafe, burger_joint, gym, hardware_store, toy_store, clothing_store, noodle_house, barber_shop, bike_shop, party_store, bakery, pharmacy, music_store, pizzeria : 58198
Saved path: tech_shop, grocery_store, clothing_store, toy_store, salon, barber_shop, bike_shop, bakery, music_store, craft_shop, gym, hardware_store, burger_joint, bookstore, pizzeria : 53476
Saved path: dentist, bookstore, hardware_store, gym, craft_shop, pet_store, florist, bank, pharmacy, party_store, barber_shop, salon, noodle_house, clothing_store, tech_shop : 68095
Saved path: barber_shop, bakery, bike_shop, gym, pet_store, gelateria, florist, craft_shop, pizzeria, dentist, burger_joint, bookstore, grocery_store, clothing_store, toy_store : 54778
Saved path: cafe, bookstore, grocery_store, clothing_store, salon, hardware_store, gym, party_store, bakery, pharmacy, music_store, pet_store, craft_shop, pizzeria, tech_shop : 57719
Saved path: burger_joint, bookstore, cafe, tech_shop, grocery_store, toy_store, barber_shop, party_store, jewelry_store, music_store, bank, florist, pet_store, craft_shop, gym : 65583
Saved path: pet_store, craft_shop, pizzeria, dentist, cafe, bookstore, burger_joint, clothing_store, toy_store, salon, hardware_store, bike_shop, jewelry_store, music_store, bank : 68043
