Saved path: noodle_house, clothing_store, tech_shop, cafe, burger_joint, hardware_store, party_store, bike_shop, bakery, music_store, florist, pet_store, craft_shop, toy_store, salon : 53301
Saved path: bakery, party_store, bike_shop, gym, salon, noodle_house, clothing_store, bookstore, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, pharmacy : 66552
Saved path: gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, dentist, pizzeria, craft_shop : 57001
Saved path: jewelry_store, party_store, bakery, bank, florist, pet_store, craft_shop, gym, burger_joint, cafe, tech_shop, clothing_store, noodle_house, toy_store, hardware_store : 60287
Saved path: pet_store, craft_shop, dentist, cafe, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, hardware_store, bakery, pharmacy, music_store, bank, gelateria : 54835
Saved path: salon, barber_shop, bike_shop, bakery, music_store, bank, gym, hardware_store, burger_joint, dentist, pizzeria, tech_shop, grocery_store, clothing_store, toy_store : 61966
Saved path: craft_shop, pizzeria, tech_shop, cafe, grocery_store, noodle_house, salon, hardware_store, bakery, bike_shop, jewelry_store, music_store, bank, gelateria, pet_store : 64774
Saved path: bakery, party_store, gym, burger_joint, bookstore, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, florist, bank, pharmacy : 61637
Saved path: burger_joint, dentist, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, salon, hardware_store, bike_shop, party_store, pharmacy, music_store, craft_shop, gym : 55781
Saved path: dentist, grocery_store, clothing_store, toy_store, salon, barber_shop, bakery, bike_shop, music_store, bank, gelateria, pet_store, gym, craft_shop, pizzeria : 61167
Saved path: clothing_store, grocery_store, dentist, pizzeria, craft_shop, pet_store, gelateria, pharmacy, party_store, jewelry_store, barber_shop, hardware_store, gym, burger_joint, bookstore : 62319
Saved path: craft_shop, pet_store, gelateria, bank, music_store, bike_shop, party_store, bakery, barber_shop, noodle_house, clothing_store, bookstore, burger_joint, cafe, pizzeria : 63934
Saved path: gym, burger_joint, bookstore, toy_store, noodle_house, clothing_store, tech_shop, pizzeria, pet_store, gelateria, bank, music_store, jewelry_store, party_store, bakery : 65742
Saved path: toy_store, burger_joint, bookstore, cafe, clothing_store, grocery_store, tech_shop, pizzeria, pet_store, florist, bank, gelateria, jewelry_store, bike_shop, bakery : 64389
Saved path: barber_shop, salon, toy_store, grocery_store, tech_shop, cafe, bookstore, dentist, pizzeria, florist, pet_store, gym, hardware_store, party_store, bakery : 57484
Saved path: craft_shop, music_store, bank, pharmacy, bakery, party_store, jewelry_store, bike_shop, gym, burger_joint, toy_store, noodle_house, grocery_store, cafe, dentist : 61411
