Saved path: gym, florist, gelateria, bank, pet_store, craft_shop, pizzeria, clothing_store, cafe, bookstore, burger_joint, bakery, party_store, bike_shop, hardware_store : 61745
Saved path: pet_store, craft_shop, pizzeria, bookstore, burger_joint, noodle_house, salon, toy_store, gym, hardware_store, bike_shop, bakery, pharmacy, gelateria, bank : 60342
Saved path: clothing_store, tech_shop, cafe, dentist, craft_shop, florist, bank, jewelry_store, bike_shop, hardware_store, gym, burger_joint, toy_store, salon, noodle_house : 66116
Saved path: tech_shop, bookstore, dentist, craft_shop, florist, music_store, pharmacy, party_store, bike_shop, barber_shop, salon, hardware_store, toy_store, noodle_house, clothing_store : 57051
Saved path: burger_joint, bookstore, tech_shop, dentist, craft_shop, music_store, gelateria, pharmacy, bakery, party_store, bike_shop, hardware_store, gym, toy_store, noodle_house : 53198
Saved path: craft_shop, florist, bank, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, salon, toy_store, noodle_house, grocery_store, burger_joint, gym, pizzeria : 68696
Saved path: noodle_house, clothing_store, grocery_store, cafe, bookstore, gym, craft_shop, pet_store, gelateria, music_store, pharmacy, bike_shop, jewelry_store, salon, toy_store : 55555
Saved path: jewelry_store, hardware_store, salon, noodle_house, clothing_store, tech_shop, pizzeria, dentist, cafe, bookstore, gym, pet_store, florist, music_store, bike_shop : 63776
Saved path: gym, hardware_store, bookstore, dentist, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, bakery, party_store, bike_shop, music_store, bank, pet_store : 66818
Saved path: salon, noodle_house, clothing_store, grocery_store, tech_shop, cafe, bookstore, burger_joint, hardware_store, gym, florist, bank, bakery, jewelry_store, barber_shop : 60681
Saved path: bank, gelateria, pet_store, pizzeria, gym, hardware_store, burger_joint, bookstore, grocery_store, clothing_store, toy_store, barber_shop, bike_shop, jewelry_store, music_store : 72753
Saved path: party_store, bike_shop, music_store, pet_store, pizzeria, dentist, bookstore, cafe, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, hardware_store, bakery : 61437
Saved path: clothing_store, grocery_store, tech_shop, cafe, bookstore, pet_store, florist, gelateria, bank, pharmacy, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house : 64995
Saved path: pet_store, florist, gelateria, music_store, pharmacy, bakery, party_store, bike_shop, barber_shop, hardware_store, gym, burger_joint, dentist, pizzeria, craft_shop : 59874
Saved path: pet_store, florist, gelateria, bank, music_store, jewelry_store, bike_shop, bakery, barber_shop, salon, noodle_house, grocery_store, bookstore, burger_joint, pizzeria : 69818
Saved path: hardware_store, burger_joint, bookstore, cafe, grocery_store, toy_store, salon, barber_shop, jewelry_store, bakery, bank, music_store, craft_shop, pizzeria, gym : 69305
Saved path: bank, music_store, pharmacy, jewelry_store, salon, noodle_house, toy_store, burger_joint, cafe, grocery_store, pizzeria, craft_shop, pet_store, florist, gelateria : 66033
Saved path: bakery, pharmacy, gelateria, florist, pizzeria, dentist, bookstore, burger_joint, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, jewelry_store : 51866
