Saved path: barber_shop, salon, clothing_store, grocery_store, dentist, bookstore, burger_joint, gym, florist, bank, pharmacy, bakery, party_store, jewelry_store, bike_shop : 66986
Saved path: jewelry_store, party_store, music_store, bank, gelateria, pet_store, gym, burger_joint, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, bike_shop : 70392
Saved path: grocery_store, clothing_store, barber_shop, bike_shop, bakery, pharmacy, music_store, pet_store, craft_shop, gym, burger_joint, cafe, dentist, pizzeria, tech_shop : 53737
Saved path: cafe, bookstore, gym, craft_shop, pet_store, florist, music_store, pharmacy, bike_shop, barber_shop, toy_store, clothing_store, tech_shop, pizzeria, dentist : 55928
Saved path: salon, clothing_store, grocery_store, tech_shop, pizzeria, bookstore, burger_joint, gym, florist, bank, gelateria, pharmacy, party_store, bike_shop, hardware_store : 64801
Saved path: music_store, pharmacy, bakery, jewelry_store, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, cafe, dentist, pizzeria, gym, florist : 58568
Saved path: bank, gelateria, craft_shop, pizzeria, gym, burger_joint, bookstore, cafe, clothing_store, toy_store, salon, barber_shop, bike_shop, bakery, pharmacy : 60413
Saved path: toy_store, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, florist, bank, gym, hardware_store, bakery, bike_shop, barber_shop, salon : 59684
Saved path: barber_shop, toy_store, noodle_house, clothing_store, tech_shop, dentist, cafe, bookstore, burger_joint, gym, craft_shop, florist, gelateria, pharmacy, bike_shop : 49101
Saved path: party_store, jewelry_store, pharmacy, gelateria, music_store, florist, craft_shop, dentist, bookstore, tech_shop, clothing_store, noodle_house, salon, toy_store, hardware_store : 56696
Saved path: bike_shop, bakery, hardware_store, pharmacy, pet_store, pizzeria, cafe, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store : 61793
Saved path: bike_shop, bakery, pharmacy, bank, florist, craft_shop, pizzeria, tech_shop, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, salon, hardware_store : 56256
Saved path: toy_store, noodle_house, clothing_store, grocery_store, dentist, bookstore, hardware_store, gym, pet_store, gelateria, bank, music_store, bakery, barber_shop, salon : 59421
Saved path: gelateria, florist, pizzeria, dentist, tech_shop, grocery_store, clothing_store, salon, barber_shop, jewelry_store, party_store, bakery, hardware_store, gym, pet_store : 61684
Saved path: pet_store, music_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, dentist, cafe, burger_joint, hardware_store : 64809
Saved path: florist, pharmacy, bakery, party_store, bike_shop, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, bookstore, hardware_store, gym, craft_shop : 50167
Saved path: noodle_house, clothing_store, grocery_store, cafe, gym, craft_shop, florist, gelateria, pharmacy, party_store, jewelry_store, bike_shop, hardware_store, toy_store, salon : 51581
Saved path: dentist, cafe, tech_shop, clothing_store, noodle_house, bookstore, gym, bakery, party_store, jewelry_store, gelateria, bank, music_store, florist, pet_store : 65580
Saved path: gelateria, music_store, pharmacy, barber_shop, salon, hardware_store, gym, toy_store, noodle_house, clothing_store, grocery_store, dentist, pizzeria, craft_shop, pet_store : 52479
Saved path: pharmacy, music_store, bank, gelateria, pet_store, pizzeria, dentist, grocery_store, cafe, burger_joint, hardware_store, salon, barber_shop, bike_shop, jewelry_store : 69462
