Saved path: bookstore, clothing_store, toy_store, salon, barber_shop, jewelry_store, party_store, bakery, hardware_store, gym, bank, gelateria, craft_shop, pizzeria, tech_shop : 70714
Saved path: toy_store, barber_shop, bakery, pharmacy, music_store, florist, pet_store, craft_shop, gym, hardware_store, burger_joint, cafe, dentist, grocery_store, clothing_store : 48695
Saved path: party_store, bike_shop, music_store, bank, florist, craft_shop, gym, burger_joint, bookstore, cafe, grocery_store, clothing_store, noodle_house, salon, hardware_store : 57131
Saved path: pharmacy, party_store, jewelry_store, barber_shop, noodle_house, clothing_store, bookstore, burger_joint, hardware_store, gym, pizzeria, craft_shop, pet_store, bank, gelateria : 69950
Saved path: florist, pet_store, craft_shop, dentist, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, salon, toy_store, hardware_store, bike_shop, pharmacy, music_store : 50579
Saved path: jewelry_store, bakery, pharmacy, gelateria, bank, music_store, florist, gym, craft_shop, pizzeria, dentist, tech_shop, grocery_store, noodle_house, salon : 63740
Saved path: barber_shop, salon, clothing_store, dentist, cafe, bookstore, burger_joint, gym, craft_shop, pet_store, florist, pharmacy, bakery, party_store, bike_shop : 55644
Saved path: pizzeria, pet_store, gelateria, bank, music_store, pharmacy, bakery, bike_shop, barber_shop, noodle_house, toy_store, burger_joint, clothing_store, grocery_store, tech_shop : 59029
Saved path: bank, pharmacy, party_store, jewelry_store, salon, noodle_house, clothing_store, grocery_store, pizzeria, dentist, cafe, bookstore, burger_joint, gym, pet_store : 68762
Saved path: bank, florist, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, burger_joint, hardware_store, barber_shop, jewelry_store, bike_shop, pharmacy : 66719
