Saved path: pizzeria, tech_shop, clothing_store, bookstore, burger_joint, toy_store, salon, barber_shop, jewelry_store, bakery, hardware_store, gym, pet_store, bank, florist : 71652
Saved path: burger_joint, bookstore, tech_shop, dentist, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, party_store, jewelry_store, salon, toy_store, gym : 71427
Saved path: toy_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, bank, florist, craft_shop, pizzeria, dentist, cafe, bookstore, gym : 68904
Saved path: salon, toy_store, gym, jewelry_store, music_store, florist, pet_store, craft_shop, pizzeria, dentist, cafe, bookstore, burger_joint, clothing_store, noodle_house : 61952
Saved path: salon, barber_shop, bike_shop, bakery, gym, pet_store, craft_shop, pizzeria, dentist, cafe, bookstore, burger_joint, toy_store, clothing_store, noodle_house : 49239
Saved path: gelateria, music_store, florist, craft_shop, pizzeria, tech_shop, cafe, bookstore, hardware_store, toy_store, barber_shop, jewelry_store, party_store, bakery, pharmacy : 58494
Saved path: gelateria, music_store, florist, pet_store, pizzeria, dentist, tech_shop, clothing_store, toy_store, gym, bike_shop, jewelry_store, party_store, bakery, pharmacy : 59303
Saved path: noodle_house, salon, hardware_store, bakery, pharmacy, bank, music_store, florist, pet_store, dentist, tech_shop, cafe, bookstore, burger_joint, toy_store : 56930
Saved path: pizzeria, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bakery, party_store, music_store, gelateria, florist, gym, burger_joint, cafe, dentist : 56652
Saved path: burger_joint, dentist, pet_store, florist, music_store, bank, gelateria, bakery, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, tech_shop, cafe : 66343
Saved path: tech_shop, cafe, burger_joint, toy_store, noodle_house, salon, barber_shop, jewelry_store, bike_shop, gym, pet_store, florist, craft_shop, pizzeria, dentist : 61075
Saved path: craft_shop, florist, bank, party_store, bike_shop, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, dentist, bookstore, burger_joint, gym : 66853
